Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
8014482;2676999.138235242;1281488.7367271462;Wilchingen-Hallau;0;77;0;0;21.82;0;4
8014483;2679299.144669775;1282616.7266365273;Neunkirch;0;77;0;0;21.82;0;4
8014484;2685284.145156633;1283313.694644311;Beringen Bad Bf;0;77;0;0;21.82;0;4
8014485;2688161.141896095;1281970.682477691;Neuhausen Bad Bf;0;77;0;0;21.82;0;4
8014487;2692033.159949931;1286034.6626382507;Herblingen;0;56;0;0;30;0;4
8014490;2694842.1825304367;1289091.6481949966;Thayngen;0;70;0;0;24;0;4
8500010;2611362.4887919314;1266309.5667155203;Basel SBB;1;468;0;0;3.59;0;1
8500020;2615757.5609712764;1264782.5438699357;Muttenz;0;123;0;0;13.66;0;3
8500021;2618993.5999879194;1263577.5037699281;Pratteln;1;124;0;0;13.55;0;2
8500022;2621132.5677402504;1261227.4762465223;Frenkendorf-Füllinsdorf;0;60;0;0;28;0;4
8500023;2622063.5505500357;1259340.4547726824;Liestal;1;222;0;0;7.57;0;1
8500024;2624215.5513953855;1257763.4028108965;Lausen;0;59;0;0;28.47;0;4
8500025;2626281.5613136617;1257446.3737209076;Itingen;0;60;0;0;28;0;4
8500026;2628154.5688635395;1256952.3427739;Sissach;1;147;0;0;11.43;0;2
8500027;2630839.5929568717;1257314.329699286;Gelterkinden;0;86;0;0;19.53;0;3
8500028;2633864.6055224366;1255093.2817852853;Tecknau;0;56;0;0;30;0;4
8500031;2630098.573885114;1255495.3120853042;Diepflingen;0;31;0;0;54.19;0;5
8500032;2631142.5803672327;1254328.2911550195;Sommerau;0;31;0;0;54.19;0;5
8500033;2631079.5713853966;1252811.275317885;Rümlingen;0;31;0;0;54.19;0;5
8500034;2630882.550033276;1250988.2547590605;Buckten;0;31;0;0;54.19;0;5
8500035;2631528.527453645;1249117.2300134343;Läufelfingen;0;31;0;0;54.19;0;5
8500037;2635174.550969805;1246238.204866412;Trimbach;0;31;0;0;54.19;0;5
8500051;2611345.478046188;1260244.508058877;Reinach BL Dorf;0;0;268;0;0;6.27;3
8500060;2610280.4821663904;1265186.5611893767;Binningen;0;0;304;0;0;5.53;3
