Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
8014482;2676999.3104849895;1281488.6951261621;Wilchingen-Hallau;0;77;0;0;21.82;0;4
8014483;2679299.3854200537;1282616.7770353486;Neunkirch;0;77;0;0;21.82;0;4
8014484;2685283.7086572596;1283313.7558470005;Beringen Bad Bf;0;77;0;0;21.82;0;4
8014485;2688161.6396461604;1281970.4806788696;Neuhausen Bad Bf;0;122;0;0;13.77;0;3
8014487;2692033.032949944;1286034.8442394484;Herblingen;0;55;0;0;30.55;0;4
8014488;2674925.6525097946;1279841.3034818838;Trasadingen;0;77;0;0;21.82;0;4
8014490;2694842.4265295975;1289091.233192863;Thayngen;0;70;0;0;24;0;4
8500010;2611362.4937916067;1266309.6063158296;Basel SBB;1;496;73;0;3.39;0;1
8500016;2610075.4704834586;1268852.5008284159;Basel St. Johann;0;0;38;0;0;44.21;5
8500020;2615757.5902219126;1264782.5570697538;Muttenz;0;123;0;0;13.66;0;3
8500021;2618993.6072378727;1263577.4927698185;Pratteln;1;124;0;0;13.55;0;2
8500022;2621132.5649909615;1261227.5274465606;Frenkendorf-Füllinsdorf;0;60;0;0;28;0;4
8500023;2622063.538550307;1259340.496773509;Liestal;1;222;0;0;7.57;0;1
8500024;2624215.5461456156;1257763.435611523;Lausen;0;59;0;0;28.47;0;4
8500025;2626281.533312982;1257446.318720636;Itingen;0;60;0;0;28;0;4
8500026;2628154.5846134936;1256952.3265734976;Sissach;1;147;0;0;11.43;0;2
8500027;2630839.5792070306;1257314.359499698;Gelterkinden;0;86;0;0;19.53;0;3
8500028;2633864.628022713;1255093.3095854835;Tecknau;0;56;0;0;30;0;4
8500031;2630098.5973853143;1255495.3026850494;Diepflingen;0;31;0;0;54.19;0;5
8500032;2631142.591367466;1254328.3301554564;Sommerau;0;31;0;0;54.19;0;5
8500033;2631079.549384864;1252811.3015186917;Rümlingen;0;31;0;0;54.19;0;5
8500034;2630882.576283533;1250988.2631589621;Buckten;0;31;0;0;54.19;0;5
8500035;2631528.5474530286;1249117.1780127317;Läufelfingen;0;31;0;0;54.19;0;5
8500037;2635174.5579699525;1246238.190866381;Trimbach;0;31;0;0;54.19;0;5
8500051;2611345.4480457148;1260244.459658582;Reinach BL Dorf;0;0;278;0;0;6.04;3
8500060;2610280.46566648;1265186.5185890303;Binningen;0;0;305;0;0;5.51;3
8500061;2610152.4908341654;1264642.585059084;Bottmingermühle;0;0;304;0;0;5.53;3
8500062;2610015.460738145;1263735.5010876553;Bottmingen;0;0;304;0;0;5.53;3
8500063;2609090.4841652117;1262675.5055819019;Oberwil BL;0;0;303;0;0;5.54;3
8500064;2608932.4410822387;1260960.520594602;Therwil;0;0;311;0;0;5.4;3
8500065;2608093.425475873;1259229.4620924485;Ettingen;0;0;312;0;0;5.38;3
8500066;2606299.398809689;1259630.4692100983;Witterswil;0;0;140;0;0;12;4
8500067;2605376.4488346656;1259823.48472323;Bättwil;0;0;140;0;0;12;4
8500068;2604562.3824370424;1259812.4694504016;Flüh;0;0;140;0;0;12;4
8500070;2601540.3822807847;1258915.5602003995;Rodersdorf;0;0;84;0;0;20;5
8500071;2610496.5068875505;1265898.617997456;Dorenbach;0;0;306;0;0;5.49;3
8500072;2608788.478634071;1261761.528658075;Hüslimatt;0;0;310;0;0;5.42;3
8500073;2611759.4930677055;1266743.5716114102;Basel Aeschenplatz;0;0;1474;0;0;1.14;2
8500076;2613625.490748446;1262390.500159414;Münchenstein Dorf;0;0;224;0;0;7.5;3
8500077;2613582.5067861523;1260427.4839263132;Arlesheim Dorf;0;0;225;0;0;7.47;3
8500078;2612992.510158093;1259889.465253237;Dornach;0;0;224;0;0;7.5;3
8500079;2611252.4976823987;1266749.5968848309;Basel Heuwaage;0;0;327;0;0;5.14;3
8500080;2623465.509337303;1255675.3208019375;Talhaus;0;78;0;0;21.54;0;4
8500081;2623073.570889117;1258450.3735859375;Altmarkt;0;78;0;0;21.54;0;4
8500082;2622841.502596467;1256578.4042397302;Bubendorf;0;78;0;0;21.54;0;4
8500083;2624332.564923516;1254685.346542957;Lampenberg-Ramlinsburg;0;78;0;0;21.54;0;4
8500084;2625088.494563138;1253011.3673209955;Hölstein;0;78;0;0;21.54;0;4
8500085;2623643.501167543;1250444.28793711;Niederdorf;0;77;0;0;21.82;0;4
8500086;2623426.50782184;1249079.3042522797;Oberdorf BL;0;77;0;0;21.82;0;4
8500087;2623424.5351961358;1248430.311827688;Waldenburg;0;77;0;0;21.82;0;4
8500088;2623418.494593282;1249637.3082509406;Oberdorf BL Winkelweg;0;77;0;0;21.82;0;4
8500090;2612692.5376428394;1268618.6060847493;Basel Bad Bf;1;107;0;0;15.7;0;2
8500092;2624839.546963934;1252515.322302862;Hölstein Süd;0;78;0;0;21.54;0;4
8500093;2624514.5001315465;1252053.3302917099;Hölstein Weidbächli;0;77;0;0;21.82;0;4
8500094;2623892.5156609844;1251083.3735701176;Hirschlang;0;77;0;0;21.82;0;4
8500095;2613521.5245274836;1263224.5120754347;Hofmatt;0;0;225;0;0;7.47;3
8500100;2582049.228184235;1229906.569291532;Tavannes;1;93;0;0;18.06;0;2
8500101;2584006.261929528;1231611.5122102671;Reconvilier;0;47;0;0;35.74;0;4
8500102;2587681.3129506316;1231989.6164256802;Malleray-Bévilard;0;47;0;0;35.74;0;4
8500103;2589940.311895805;1232044.5509261;Sorvilier;0;35;0;0;48;0;5
8500104;2592691.327506166;1232190.547051418;Court;0;34;0;0;49.41;0;5
8500105;2595643.423809363;1236643.437935509;Moutier;1;112;0;0;15;0;2
8500109;2593309.380661472;1245688.4646793294;Delémont;1;111;0;0;15.14;0;2
8500113;2604830.4658805523;1252061.488703605;Laufen;0;89;0;0;18.88;0;3
8500114;2606928.483052682;1253670.48784495;Zwingen;0;61;0;0;27.54;0;4
8500115;2611568.500478242;1254511.4359669203;Grellingen;0;61;0;0;27.54;0;4
8500116;2612430.496625529;1255863.4146474057;Duggingen;0;59;0;0;28.47;0;4
8500117;2612397.462622791;1257453.4216207312;Aesch;0;61;0;0;27.54;0;4
8500118;2612999.4664087533;1259775.5133329518;Dornach-Arlesheim;0;61;0;0;27.54;0;4
8500119;2613481.5140239233;1262531.4931310285;Münchenstein;0;61;0;0;27.54;0;4
8500120;2590879.450770942;1243559.5488921388;Courtételle;0;54;0;0;31.11;0;4
8500121;2588854.441073486;1242701.5611190272;Courfaivre;0;54;0;0;31.11;0;4
8500122;2585505.4804319134;1242887.588978586;Bassecourt;0;69;0;0;24.35;0;4
8500123;2582667.396617347;1242730.574764968;Glovelier;1;78;0;0;21.54;0;3
8500124;2579403.4194112034;1246353.6222189348;St-Ursanne;0;28;0;0;60;0;5
8500125;2576266.275898951;1250537.579552416;Courgenay;0;56;0;0;30;0;4
8500126;2572944.2304854887;1252296.5490399443;Porrentruy;1;96;1;0;17.5;0;2
