Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
12;2497968.599494273;1121360.6829534492;Grand-Saconnex, Batailleux;0;0;67;0;0;25.07;5
13;2493962.5906734713;1117430.6602950154;Satigny, Camping Bois-de-Bay;0;0;49;0;0;34.29;5
14;2504947.5853346093;1118477.7823531365;Vandoeuvres, Cocuaz;0;0;77;0;0;21.82;5
16;2494041.4998662407;1120629.6463735946;Meyrin, Alphonse-Large;0;0;192;0;0;8.75;3
18;2506631.5367653943;1125557.8455811897;Anières, Mairie;0;0;24;0;0;70;0
22;2497676.550638061;1118618.8010768984;Vernier, Châtelaine;0;0;601;0;0;2.8;2
23;2507334.564314418;1126404.8560835114;Anières, Courson;0;0;24;0;0;70;0
24;2498345.6346040755;1120579.598595993;Genève, Gardiol;0;0;337;0;0;4.99;2
26;2495363.477151333;1121487.6624236472;Meyrin, Gravière;0;0;499;0;0;3.37;2
27;2497323.505449833;1120109.660132388;Meyrin, De-Joinville;0;0;209;0;0;8.04;3
29;2494808.4956712066;1120973.638961492;Meyrin, Prulay;0;0;149;0;0;11.28;4
30;2495560.4986949894;1119633.6435340785;Vernier, Signal;0;0;191;0;0;8.8;3
31;2507410.5617956826;1124811.843715476;Anières, Douane;0;0;118;0;0;14.24;4
32;2494934.481833576;1119823.6511787886;Meyrin, P+R gare de Meyrin;0;0;190;0;0;8.84;3
33;2493464.603187753;1119332.642043749;Satigny, Sablières;0;0;49;0;0;34.29;5
37;2507162.5473869485;1126844.861021497;Chevrens, sous-Chevrens;0;0;113;0;0;14.87;4
38;2494875.488745426;1120103.6388356048;Meyrin, Voituriers;0;0;150;0;0;11.2;4
41;2495222.481141026;1121131.6530434664;Meyrin, Mairie;0;0;149;0;0;11.28;4
42;2494725.608953999;1110986.7188262122;St-Julien-en-Genevois, Dr Palluel;0;0;24;0;0;70;0
43;2497328.523076981;1123930.777301128;Ferney, Château de Voltaire;0;0;60;0;0;28;5
45;2488572.505368055;1112222.627646752;Avusy, Creux-du-Loup;0;0;39;0;0;43.08;5
46;2497274.5889823185;1116680.8128610044;Onex, Gérard-De-Ternier;0;0;543;0;0;3.09;2
48;2488373.505962974;1112015.6270166165;Avusy, Moulin-de-la-Grave;0;0;39;0;0;43.08;5
126;2495208.494022912;1122678.6666153064;Prévessin-Moëns, Ancienne-Douane;0;0;41;0;0;40.98;5
127;2487802.5228198376;1114941.6399361854;Challex, les Baraques;0;0;15;0;0;112;0
128;2494787.50630807;1123131.7018499977;Prévessin-Moëns, Bretonnière;0;0;42;0;0;40;5
131;2487096.5344553543;1115708.6636327943;Challex, P+R Eglise;0;0;13;0;0;129.23;0
133;2497942.5323340073;1124089.8076683837;Ferney, Ch. de Collex;0;0;41;0;0;40.98;5
135;2487517.531088802;1115437.65142626;Challex, Fontanettes;0;0;28;0;0;60;5
136;2487733.5262239208;1115196.6425426393;Challex, Gaillardin;0;0;13;0;0;129.23;0
137;2495850.515867391;1123491.7343614623;Prévessin-Moëns, Hauts-de-Magny;0;0;41;0;0;40.98;5
138;2495840.4751888933;1121947.6642186726;Meyrin, Mategnin;0;0;41;0;0;40.98;5
139;2495745.4947143095;1122803.6766695268;Prévessin-Moëns, Parc des Anneaux;0;0;41;0;0;40.98;5
140;2488297.5267587956;1115040.6363947005;La Plaine, Douane;0;0;28;0;0;60;5
143;2495418.514971322;1123475.7313149907;Prévessin-Moëns, mairie;0;0;42;0;0;40;5
