Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
1100085;2616393.8202394173;1272050.7505684074;Lörrach-Stetten, Dammstrasse;0;0;68;0;0;24.71;5
1100086;2616336.800675114;1271695.7390874827;Lörrach-Stetten, Grenze;0;0;124;0;0;13.55;4
1100087;2620875.905005497;1266623.469067937;Herten, Markhof;0;0;44;0;0;38.18;5
1100137;2619858.0955336997;1272234.6829862474;Inzlingen, Waidhof;0;0;71;0;0;23.66;5
1100250;2619774.0298559326;1268759.5429200185;Wyhlen (D), Rührberg;0;0;24;0;0;70;0
1100253;2616623.7697561835;1267143.590864573;Grenzach (D), Hebelstr.;0;0;24;0;0;70;0
1100254;2616839.7322606333;1267483.596683193;Grenzach (D), Im Proli;0;0;12;0;0;140;0
1100255;2616954.7211253885;1267633.5973048662;Grenzach (D), Erlenweg;0;0;24;0;0;70;0
1100256;2617173.7425315334;1267771.5848734374;Grenzach (D), Bettingerstr.;0;0;24;0;0;70;0
1100257;2617538.839636997;1267914.549257776;Grenzach (D), Neufeld;0;0;24;0;0;70;0
1100272;2632176.9912796277;1271267.4010997969;Schwörstadt, Haus Thoma;0;0;5;0;0;336;0
1100273;2632772.0011125873;1271402.393578883;Schwörstadt, Feuerwehrhaus;0;0;12;0;0;140;0
1100274;2633357.011528421;1271559.3860927806;Schwörstadt, Oberdorf;0;0;12;0;0;140;0
1100288;2616778.7429192527;1267294.5909251159;Grenzach (D), Bürgelerweg;0;0;12;0;0;140;0
1100289;2616589.791061207;1266748.5741389378;Grenzach (D), Bahnhof;0;0;5;0;0;336;0
1100300;2626352.899485443;1267909.4487502037;Rheinfelden (D), Fürstenberg/K;0;0;24;0;0;70;0
1100358;2634304.0083700134;1271105.3703384565;Schwörstadt, Aussendorf;0;0;6;0;0;280;0
1100359;2632161.9896392697;1271209.400622612;Schwörstadt, Unterdorf;0;0;7;0;0;240;0
1100360;2629845.965818186;1271142.4333557277;Schwörstadt, Kraftwerk;0;0;7;0;0;240;0
1100422;2638480.9794471962;1267420.2893602669;Bad Säckingen, Bahnhof;0;0;48;0;0;35;5
1100423;2637856.96641753;1267301.2914456448;Bad Säckingen, Friedrichstr.;0;0;47;0;0;35.74;5
1100424;2637043.953433598;1267209.2949253845;Bad Säckingen, Basler Str.;0;0;49;0;0;34.29;5
1100425;2636790.9569838787;1266834.2959466334;Bad Säckingen, Jurastr.;0;0;48;0;0;35;5
1100426;2635834.962687472;1268477.30838515;Bad Säckingen, Wallbach Kirche;0;0;48;0;0;35;5
1100427;2635693.9767880477;1269101.3139257105;Bad Säckingen, Bündtenstr.;0;0;49;0;0;34.29;5
1100429;2635618.0186648383;1270748.3351683158;Brennet, Wehratalstr.;0;0;44;0;0;38.18;5
1100518;2611886.591846718;1271750.5178449075;Weil am Rhein, Steinackerstr.;0;0;12;0;0;140;0
1100519;2611718.5879402626;1271511.5158661513;Weil am Rhein, Schusterinsel;0;0;12;0;0;140;0
1100537;2616329.8137437534;1271965.746992707;Lörrach, F.-Ebert-Str.;0;0;56;0;0;30;5
1100539;2616788.834812641;1271906.7527221304;Lörrach, Freie Walldorfschule;0;0;26;0;0;64.62;0
1100540;2616556.808808168;1271671.7420514794;Lörrach, K.-Adenauer-Hof;0;0;26;0;0;64.62;0
1100541;2616588.8336256295;1272053.7541252207;Lörrach, Struve-Platz;0;0;26;0;0;64.62;0
1100543;2615149.7417699364;1272198.7302580038;Lörrach, Obertüllingen Parkpl.;0;0;27;0;0;62.22;0
1100550;2614652.770824603;1271342.688331076;Weil am Rhein, Altes Rathaus;0;0;66;0;0;25.45;5
1100551;2615003.771615244;1271232.693411998;Weil am Rhein, Alte Post;0;0;66;0;0;25.45;5
1100598;2617665.896117363;1272142.7742123655;Lörrach, Maienbühl;0;0;109;0;0;15.41;4
