Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
8577442;2687742.9114540787;1206161.6311654407;Brunnen, Seilbahn Urmiberg;0;0;112;0;0;15;4
8577443;2687460.1857587094;1206197.7293293548;Brunnen, Schiller;0;0;112;0;0;15;4
8577444;2686675.9117606366;1206139.255696472;Brunnen, Fallenbach;0;0;92;0;0;18.26;4
8577445;2684459.642450179;1204860.785030302;Gersau, Kindli-Strandbad;0;0;92;0;0;18.26;4
8577448;2692688.6870388538;1208268.6496015883;Schwyz, Obstmühle/Friedhof;0;0;81;0;0;20.74;5
8577449;2692692.8788120705;1207954.8379474676;Schwyz, Spital;0;0;56;0;0;30;5
8577450;2692700.799462199;1207621.2934559153;Schwyz, Grundkapelle;0;0;56;0;0;30;5
8577451;2692733.28358219;1207111.6797042505;Schwyz, Schützenhaus;0;0;56;0;0;30;5
8577452;2692450.2330217925;1206246.3800627412;Schwyz, Bierkeller;0;0;56;0;0;30;5
8577453;2693893.174376742;1205217.096576687;Schwyz, Stoosbahn;0;0;56;0;0;30;5
8577454;2694436.8269890375;1205323.0728376156;Ried (Muotathal), Grünenwald;0;0;56;0;0;30;5
8577455;2695214.7706676763;1205310.1944544148;Ried (Muotathal), Selgis;0;0;56;0;0;30;5
8577456;2695755.1790633267;1205151.9510030423;Ried (Muotathal), Hesigen;0;0;56;0;0;30;5
8577457;2696306.735587455;1204978.9256858018;Ried (Muotathal), Mühlestuden;0;0;56;0;0;30;5
8577458;2696894.8743203576;1204747.9495406565;Ried (Muotathal), Kappelmatt;0;0;56;0;0;30;5
8577459;2698079.257155488;1204171.780777976;Ried (Muotathal), Vord. Brücke;0;0;57;0;0;29.47;5
8577460;2698377.281396874;1203882.9305573048;Muotathal, Föllmisbrücke;0;0;56;0;0;30;5
8577461;2698804.9433591766;1203648.719471369;Muotathal, Nuschlau;0;0;56;0;0;30;5
8577462;2699913.8018880445;1203566.9967073316;Muotathal, Weid;0;0;56;0;0;30;5
8577463;2700652.206430908;1203278.86294188;Muotathal, Sternen;0;0;62;0;0;27.1;5
