"","Haltestellen_No_2023","Y_Koord_2023","X_Koord_2023","Name","Bahnknoten_2023","Bahnlinie_Anz_2023","TramBus_Anz_2023","Seilbahn_Anz_2023","A_Intervall_2023","B_Intervall_2023","Hst_Kat_2023","Haltestellen_No_2022","Y_Koord_2022","X_Koord_2022","Bahnknoten_2022","Bahnlinie_Anz_2022","TramBus_Anz_2022","Seilbahn_Anz_2022","A_Intervall_2022","B_Intervall_2022","Hst_Kat_2022","Haltestellen_No_2021","Y_Koord_2021","X_Koord_2021","Bahnknoten_2021","Bahnlinie_Anz_2021","TramBus_Anz_2021","Seilbahn_Anz_2021","A_Intervall_2021","B_Intervall_2021","Hst_Kat_2021","Haltestellen_No_2020","Y_Koord_2020","X_Koord_2020","Bahnknoten_2020","Bahnlinie_Anz_2020","TramBus_Anz_2020","Seilbahn_Anz_2020","A_Intervall_2020","B_Intervall_2020","Hst_Kat_2020","Haltestellen_No_2019","Y_Koord_2019","X_Koord_2019","Bahnknoten_2019","Bahnlinie_Anz_2019","TramBus_Anz_2019","Seilbahn_Anz_2019","A_Intervall_2019","B_Intervall_2019","Hst_Kat_2019","Haltestellen_No_2018","Y_Koord_2018","X_Koord_2018","Bahnknoten_2018","Bahnlinie_Anz_2018","TramBus_Anz_2018","Seilbahn_Anz_2018","A_Intervall_2018","B_Intervall_2018","Hst_Kat_2018","Haltestellen_No_2017","Y_Koord_2017","X_Koord_2017","Bahnknoten_2017","Bahnlinie_Anz_2017","TramBus_Anz_2017","Seilbahn_Anz_2017","A_Intervall_2017","B_Intervall_2017","Hst_Kat_2017","Haltestellen_No_2016","Y_Koord_2016","X_Koord_2016","Bahnknoten_2016","Bahnlinie_Anz_2016","TramBus_Anz_2016","Seilbahn_Anz_2016","A_Intervall_2016","B_Intervall_2016","Hst_Kat_2016","Haltestellen_No_2015","Y_Koord_2015","X_Koord_2015","Bahnknoten_2015","Bahnlinie_Anz_2015","TramBus_Anz_2015","Seilbahn_Anz_2015","A_Intervall_2015","B_Intervall_2015","Hst_Kat_2015","Haltestellen_No_2014","Y_Koord_2014","X_Koord_2014","Bahnknoten_2014","Bahnlinie_Anz_2014","TramBus_Anz_2014","Seilbahn_Anz_2014","A_Intervall_2014","B_Intervall_2014","Hst_Kat_2014","Haltestellen_No_2013","Y_Koord_2013","X_Koord_2013","Bahnknoten_2013","Bahnlinie_Anz_2013","TramBus_Anz_2013","Seilbahn_Anz_2013","A_Intervall_2013","B_Intervall_2013","Hst_Kat_2013"
"231",8590273,2669871.09,1253151.67,"Spreitenbach, Umwelt Arena",0,0,113,0,0,14.87,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",8590274,2670099.96,1253801.07,"Spreitenbach, Härdlistrasse",0,0,51,0,0,32.94,5,8590274,2670099.96,1253801.07,0,0,51,0,0,32.94,5,8590274,2670099.96009987,1253801.06867041,0,0,51,0,0,32.94,5,8590274,2670181.09733545,1253875.08297945,0,0,51,0,0,32.94,5,8590274,2670181.09733545,1253875.08297945,0,0,51,0,0,32.94,5,8590274,2670181.09733545,1253875.08297945,0,0,51,0,0,32.94,5,8590274,2670181.97258203,1253874.94459127,0,0,49,0,0,34.29,5,8590274,2670181.97258203,1253874.94459127,0,0,51,0,0,32.94,5,8590274,2670181.97258203,1253874.94459127,0,0,51,0,0,32.94,5,8590274,2670181.94933235,1253874.97379078,0,0,49,0,0,0,5,8590274,2670182.31132997,1253874.81179637,0,0,49,0,0,34.29,5
"233",8590275,2670547.9,1252781.98,"Spreitenbach, IKEA",0,0,298,0,0,5.64,3,8590275,2670547.9,1252781.98,0,0,298,0,0,5.64,3,8590275,2670547.90253473,1252781.97943424,0,0,298,0,0,5.64,3,8590275,2670547.90253473,1252781.97943424,0,0,298,0,0,5.64,3,8590275,2670694.21100347,1252562.0082926,0,0,298,0,0,5.64,3,8590275,2670694.21100347,1252562.0082926,0,0,298,0,0,5.64,3,8590275,2670694.91925088,1252561.99009889,0,0,321,0,0,5.23,3,8590275,2670694.91925088,1252561.99009889,0,0,321,0,0,5.23,3,8590275,2670694.91925088,1252561.99009889,0,0,321,0,0,5.23,3,8590275,2670694.93475077,1252561.98449902,0,0,321,0,0,5.23,3,8590275,2670695.28824794,1252561.84270189,0,0,321,0,0,5.23,3
"234",8590276,2669865.03,1253319.95,"Spreitenbach, Furttalstrasse",0,0,51,0,0,32.94,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8590273,2669934.22196391,1253255.82608915,0,0,112,0,0,15,4,8590273,2669934.22196391,1253255.82608915,0,0,112,0,0,15,4,8590273,2669934.93721395,1253256.02069673,0,0,136,0,0,12.35,4,8590273,2669934.93721395,1253256.02069673,0,0,135,0,0,12.44,4,8590273,2669934.93721395,1253256.02069673,0,0,135,0,0,12.44,4,8590273,2669934.94421351,1253255.97489713,0,0,136,0,0,12.35,4,8590273,2669935.30646116,1253255.8161027,0,0,136,0,0,12.35,4
"235",8590277,2669756.82,1252896.92,"Spreitenbach, Langäcker",0,0,224,0,0,7.5,3,8590277,2669756.82,1252896.92,0,0,224,0,0,7.5,3,8590277,2669756.8243297,1252896.92010583,0,0,224,0,0,7.5,3,8590277,2669756.8243297,1252896.92010583,0,0,224,0,0,7.5,3,8590277,2669756.8243297,1252896.92010583,0,0,224,0,0,7.5,3,8590277,2669756.8243297,1252896.92010583,0,0,224,0,0,7.5,3,8590277,2669757.91532784,1252897.0081188,0,0,223,0,0,7.53,3,8590277,2669757.91532784,1252897.0081188,0,0,224,0,0,7.5,3,8590277,2669757.91532784,1252897.0081188,0,0,224,0,0,7.5,3,8590277,2669757.94132747,1252896.97511934,0,0,223,0,0,7.53,3,8590277,2669758.30382512,1252896.81712492,0,0,223,0,0,7.53,3
"236",8590278,2669585.3,1253186.22,"Spreitenbach, Rotzenbühl",0,0,224,0,0,7.5,3,8590278,2669585.3,1253186.22,0,0,224,0,0,7.5,3,8590278,2669584.6166771,1253186.21561378,0,0,224,0,0,7.5,3,8590278,2669608.74377714,1253149.36116228,0,0,224,0,0,7.5,3,8590278,2669608.74377714,1253149.36116228,0,0,224,0,0,7.5,3,8590278,2669608.74377714,1253149.36116228,0,0,224,0,0,7.5,3,8590278,2669609.91802094,1253149.0019793,0,0,223,0,0,7.53,3,8590278,2669609.91802094,1253149.0019793,0,0,224,0,0,7.5,3,8590278,2669609.91802094,1253149.0019793,0,0,224,0,0,7.5,3,8590278,2669609.9440206,1253148.97157983,0,0,223,0,0,7.53,3,8590278,2669610.3082682,1253148.80918545,0,0,223,0,0,7.53,3
"237",8590279,2670188.13,1252593.9,"Spreitenbach, Shopping Center",0,0,224,0,0,7.5,3,8590279,2670188.13,1252593.9,0,0,337,0,0,4.99,2,8590279,2670188.1335733,1252593.90483359,0,0,336,0,0,5,3,8590279,2670188.1335733,1252593.90483359,0,0,336,0,0,5,3,8590279,2670188.1335733,1252593.90483359,0,0,336,0,0,5,3,8590279,2670188.1335733,1252593.90483359,0,0,336,0,0,5,3,8590279,2670188.91807169,1252593.99424078,0,0,360,0,0,4.67,2,8590279,2670188.91807169,1252593.99424078,0,0,359,0,0,4.68,2,8590279,2670188.91807169,1252593.99424078,0,0,359,0,0,4.68,2,8590279,2670188.93682147,1252593.98004092,0,0,360,0,0,4.67,2,8590279,2670189.29406855,1252593.83124381,0,0,360,0,0,4.67,2
"238",8590291,2661255.87,1260200.2,"Turgi, Gehling",0,0,112,0,0,15,4,8590291,2661255.87,1260200.2,0,0,112,0,0,15,4,8590291,2661255.87048832,1260200.19650126,0,0,112,0,0,15,4,8590291,2661278.99915357,1260193.76460101,0,0,112,0,0,15,4,8590291,2661278.99915357,1260193.76460101,0,0,112,0,0,15,4,8590291,2661278.99915357,1260193.76460101,0,0,112,0,0,15,4,8590291,2661279.89040801,1260194.06939273,0,0,112,0,0,15,4,8590291,2661279.89040801,1260194.06939273,0,0,112,0,0,15,4,8590291,2661279.89040801,1260194.06939273,0,0,112,0,0,15,4,8590291,2661279.89340798,1260194.08239277,0,0,112,0,0,15,4,8590291,2661280.21166046,1260193.9367883,0,0,112,0,0,15,4
"239",8590292,2666533.77,1257154.38,"Wettingen, Albisstrasse",0,0,180,0,0,9.33,3,8590292,2666533.77,1257154.38,0,0,180,0,0,9.33,3,8590292,2666533.77125324,1257154.37862755,0,0,180,0,0,9.33,3,8590292,2666533.77875033,1257153.7116259,0,0,180,0,0,9.33,3,8590292,2666533.77875033,1257153.7116259,0,0,180,0,0,9.33,3,8590292,2666533.77875033,1257153.7116259,0,0,179,0,0,9.39,3,8590292,2666534.94001882,1257154.05822167,0,0,175,0,0,9.6,3,8590292,2666534.94001882,1257154.05822167,0,0,177,0,0,9.49,3,8590292,2666534.94001882,1257154.05822167,0,0,177,0,0,9.49,3,8590292,2666534.93876858,1257154.01042156,0,0,175,0,0,9.6,3,8590292,2666535.29027295,1257153.84301962,0,0,175,0,0,9.6,3
"240",8590293,2666999.92,1257262.27,"Wettingen, Bahnhofstrasse",0,0,137,0,0,12.26,4,8590293,2666999.92,1257262.27,0,0,137,0,0,12.26,4,8590293,2666999.92003222,1257262.26845512,0,0,137,0,0,12.26,4,8590293,2667051.920341,1257218.26932142,0,0,137,0,0,12.26,4,8590293,2667051.920341,1257218.26932142,0,0,133,0,0,12.63,4,8590293,2667051.920341,1257218.26932142,0,0,133,0,0,12.63,4,8590293,2667052.94485496,1257218.05631643,0,0,133,0,0,12.63,4,8590293,2667052.94485496,1257218.05631643,0,0,133,0,0,12.63,4,8590293,2667052.94485496,1257218.05631643,0,0,133,0,0,12.63,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
