Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
8014439;2616053.23;1270295.12;Riehen;0;56;0;0;30.0;0.0;4
8014482;2676986.62;1281482.58;Wilchingen-Hallau;0;56;0;0;30.0;0.0;4
8014483;2679338.96;1282593.24;Neunkirch;0;56;0;0;30.0;0.0;4
8014484;2685277.74;1283314.99;Beringen Bad Bf;0;77;0;0;21.82;0.0;4
8014485;2688118.14;1281990.96;Neuhausen Bad Bf;0;76;0;0;22.11;0.0;4
8014487;2691958.07;1285874.0;Herblingen;0;98;0;0;17.14;0.0;3
8014488;2674975.01;1279876.56;Trasadingen;0;56;0;0;30.0;0.0;4
8014490;2694921.15;1289089.98;Thayngen;0;70;0;0;24.0;0.0;4
8060978;2614899.99;1270699.62;Weil am Rhein Gartenstadt;0;56;0;0;30.0;0.0;4
8060979;2615600.11;1270700.09;Weil am Rhein Pfädlistrasse;0;56;0;0;30.0;0.0;4
8087021;2614660.14;1268769.99;Riehen Niederholz;0;56;0;0;30.0;0.0;4
8101237;2757803.12;1227643.85;Forst (FL) Hilti;0;21;0;0;80.0;0.0;0
8101242;2759330.87;1229830.75;Nendeln;0;21;0;0;80.0;0.0;0
8101243;2756861.95;1226215.85;Schaan-Vaduz;0;31;0;0;54.19;0.0;5
8500004;2698355.72;1168680.18;Selva, via Alpsu spv.;0;0;3;0;0.0;560.0;0
8500005;2701465.71;1170683.07;Camischolas, via Alpsu/Strem;0;0;3;0;0.0;560.0;0
8500009;2718659.89;1098198.93;Pregassona, Scuola Media;0;0;2;0;0.0;840.0;0
8500010;2611362.68;1266309.93;Basel SBB;1;506;0;0;3.32;0.0;1
8500016;2610076.19;1268852.73;Basel St. Johann;0;40;0;0;42.0;0.0;5
8500020;2615758.38;1264783.24;Muttenz;0;126;0;0;13.33;0.0;3
8500021;2618994.28;1263578.1;Pratteln;1;125;0;0;13.44;0.0;2
8500022;2621133.12;1261228.17;Frenkendorf-Füllinsdorf;0;60;0;0;28.0;0.0;4
8500023;2622064.04;1259340.6;Liestal;1;144;0;0;11.67;0.0;2
8500024;2624210.63;1257779.36;Lausen;0;58;0;0;28.97;0.0;4
8500025;2626282.47;1257447.29;Itingen;0;59;0;0;28.47;0.0;4
8500026;2628154.77;1256952.77;Sissach;1;148;0;0;11.35;0.0;2
8500027;2630839.88;1257315.26;Gelterkinden;0;86;0;0;19.53;0.0;3
8500028;2633865.23;1255093.03;Tecknau;0;56;0;0;30.0;0.0;4
8500031;2630099.38;1255495.44;Diepflingen;0;32;0;0;52.5;0.0;5
8500032;2631143.44;1254328.94;Sommerau;0;32;0;0;52.5;0.0;5
8500033;2631080.26;1252811.7;Rümlingen;0;32;0;0;52.5;0.0;5
8500034;2630883.0;1250988.68;Buckten;0;32;0;0;52.5;0.0;5
8500035;2631529.6;1249118.07;Läufelfingen;0;32;0;0;52.5;0.0;5
8500037;2635174.61;1246238.43;Trimbach;0;30;0;0;56.0;0.0;5
8500051;2611345.87;1260244.51;Reinach BL, Dorf;0;0;470;0;0.0;3.57;2
8500060;2610280.59;1265185.96;Binningen, Schloss;0;0;307;0;0.0;5.47;3
8500061;2610151.71;1264642.25;Binningen, Bottmingermühle;0;0;306;0;0.0;5.49;3
8500062;2610015.88;1263735.62;Bottmingen, Schloss;0;0;849;0;0.0;1.98;2
8500063;2609091.3;1262675.74;Oberwil BL, Zentrum;0;0;654;0;0.0;2.57;2
8500064;2608932.82;1260959.77;Therwil, Zentrum;0;0;483;0;0.0;3.48;2
8500065;2608093.83;1259229.52;Ettingen, Dorf;0;0;368;0;0.0;4.57;2
8500066;2606300.57;1259629.63;Witterswil, Station;0;0;140;0;0.0;12.0;4
8500067;2605376.94;1259823.75;Bättwil, Dorf;0;0;140;0;0.0;12.0;4
8500068;2604563.18;1259811.62;Flüh, Station;0;0;242;0;0.0;6.94;3
8500070;2601541.27;1258915.05;Rodersdorf, Station;0;0;112;0;0.0;15.0;4
8500071;2610495.8;1265898.38;Binningen, Dorenbach;0;0;308;0;0.0;5.45;3
8500072;2608788.18;1261761.1;Oberwil BL, Hüslimatt;0;0;421;0;0.0;3.99;2
8500073;2611760.13;1266742.78;Basel, Aeschenplatz;0;0;1594;0;0.0;1.05;2
8500076;2613625.65;1262389.54;Münchenstein, Dorf;0;0;226;0;0.0;7.43;3
8500077;2613582.76;1260426.65;Arlesheim, Dorf;0;0;333;0;0.0;5.05;3
8500079;2611248.27;1266738.46;Basel, Heuwaage;0;0;788;0;0.0;2.13;2
8500082;2622841.12;1256578.12;Bubendorf;0;0;112;0;0.0;15.0;4
8500090;2612664.52;1268524.78;Basel Bad Bf;1;246;0;0;6.83;0.0;1
8500095;2613522.28;1263224.54;Münchenstein, Hofmatt;0;0;270;0;0.0;6.22;3
8500096;2612815.04;1265173.98;Basel, Dreispitz;0;0;993;0;0.0;1.69;2
8500100;2582049.5;1229906.33;Tavannes;1;94;0;0;17.87;0.0;2
8500101;2584006.3;1231612.52;Reconvilier;0;48;0;0;35.0;0.0;4
8500102;2587682.39;1231990.27;Malleray-Bévilard;0;47;0;0;35.74;0.0;4
8500103;2589942.09;1232057.14;Sorvilier;0;31;0;0;54.19;0.0;5
8500104;2592692.16;1232191.39;Court;0;31;0;0;54.19;0.0;5
8500105;2595643.31;1236643.71;Moutier;1;114;0;0;14.74;0.0;2
8500109;2593309.58;1245689.09;Delémont;1;85;0;0;19.76;0.0;2
8500113;2604830.7;1252062.02;Laufen;0;90;0;0;18.67;0.0;3
8500114;2606928.26;1253670.91;Zwingen;0;62;0;0;27.1;0.0;4
8500115;2611568.25;1254511.1;Grellingen;0;62;0;0;27.1;0.0;4
8500116;2612430.69;1255863.74;Duggingen;0;58;0;0;28.97;0.0;4
8500117;2612398.26;1257453.95;Aesch BL;0;61;0;0;27.54;0.0;4
8500118;2613000.02;1259776.13;Dornach-Arlesheim;0;61;0;0;27.54;0.0;4
8500119;2613481.9;1262532.31;Münchenstein;0;61;0;0;27.54;0.0;4
8500120;2590880.2;1243559.57;Courtételle;0;56;0;0;30.0;0.0;4
8500121;2588854.87;1242702.19;Courfaivre;0;56;0;0;30.0;0.0;4
8500122;2585505.32;1242887.48;Bassecourt;0;57;0;0;29.47;0.0;4
8500123;2582668.29;1242731.36;Glovelier;1;86;0;0;19.53;0.0;2
8500124;2579404.24;1246353.81;St-Ursanne;0;56;0;0;30.0;0.0;4
8500125;2576267.15;1250537.86;Courgenay;0;56;0;0;30.0;0.0;4
8500126;2572944.53;1252296.64;Porrentruy;1;101;0;0;16.63;0.0;2
8500127;2571099.44;1256192.0;Courtemaîche;0;30;0;0;56.0;0.0;5
8500128;2568193.74;1260294.08;Boncourt;0;30;0;0;56.0;0.0;5
8500135;2586032.23;1232008.84;Pontenet;0;48;0;0;35.0;0.0;4
8500136;2612873.17;1265203.8;Basel Dreispitz;0;61;0;0;27.54;0.0;4
8500138;2610106.95;1269480.89;Basel, St-Louis Grenze;0;0;225;0;0.0;7.47;3
8500141;2571261.45;1254401.22;Courchavon;0;30;0;0;56.0;0.0;5
8500144;2569196.7;1258809.96;Buix;0;30;0;0;56.0;0.0;5
8500146;2611204.83;1266101.26;Basel, Bhfeingang Gundeldingen;0;0;255;0;0.0;6.59;3
8500147;2611998.98;1265700.31;Basel, Heiliggeistkirche;0;0;479;0;0.0;3.51;2
8500159;2596286.08;1226751.0;Grenchen Nord;0;57;0;0;29.47;0.0;4
8500160;2610971.98;1266226.92;Basel, IWB;0;0;478;0;0.0;3.51;2
