Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
8014439;2616053.214370717;1270301.7950296924;Riehen;0;56;0;0;30;0;4
8014482;2676985.930703997;1281483.2381868635;Wilchingen-Hallau;0;56;0;0;30;0;4
8014483;2679338.957530518;1282593.244783961;Neunkirch;0;56;0;0;30;0;4
8014484;2685277.7449181634;1283314.9922837892;Beringen Bad Bf;0;77;0;0;21.82;0;4
8014485;2688118.1416582097;1281990.9601594985;Neuhausen Bad Bf;0;76;0;0;22.11;0;4
8014487;2691957.8577252976;1285887.451085473;Herblingen;0;98;0;0;17.14;0;3
8014488;2674975.0012161783;1279877.229486616;Trasadingen;0;56;0;0;30;0;4
8014490;2694920.9394644555;1289103.3240141803;Thayngen;0;70;0;0;24;0;4
8060978;2614899.992804471;1270700.291030415;Weil am Rhein Gartenstadt;0;112;0;0;15;0;3
8060979;2615600.1095674713;1270700.0913380792;Weil am Rhein Pfädlistrasse;0;112;0;0;15;0;3
8087021;2614660.1186747695;1268776.6630061117;Riehen Niederholz;0;56;0;0;30;0;4
8500010;2611361.9786533834;1266322.7158302253;Basel SBB;1;506;0;0;3.32;0;1
8500016;2610074.8277593898;1268858.83844409;Basel St. Johann;0;40;0;0;42;0;5
8500020;2615757.0115382257;1264788.6845064645;Muttenz;0;124;0;0;13.55;0;3
8500021;2618992.9110587677;1263583.4376223274;Pratteln;1;125;0;0;13.44;0;2
8500022;2621131.723917546;1261240.2816565742;Frenkendorf-Füllinsdorf;0;60;0;0;28;0;4
8500023;2622062.636902292;1259353.3829911875;Liestal;1;222;0;0;7.57;0;1
8500024;2624214.71274594;1257776.7076523353;Lausen;0;59;0;0;28.47;0;4
8500025;2626281.063178825;1257459.3990809529;Itingen;0;60;0;0;28;0;4
8500026;2628154.0584196434;1256958.8776576908;Sissach;1;147;0;0;11.43;0;2
8500027;2630839.1775110066;1257320.7019740795;Gelterkinden;0;86;0;0;19.53;0;3
8500028;2633863.7948232717;1255106.4799740838;Tecknau;0;56;0;0;30;0;4
8500031;2630097.9901494132;1255501.5505686156;Diepflingen;0;31;0;0;54.19;0;5
8500032;2631142.0503833517;1254334.9328431922;Sommerau;0;31;0;0;54.19;0;5
8500033;2631078.867087804;1252817.8078565898;Rümlingen;0;31;0;0;54.19;0;5
8500034;2630882.293621308;1250994.6808299546;Buckten;0;31;0;0;54.19;0;5
8500035;2631528.212287769;1249123.3976819739;Läufelfingen;0;31;0;0;54.19;0;5
8500037;2635173.892688364;1246244.5450686626;Trimbach;0;31;0;0;54.19;0;5
8500051;2611345.196291129;1260243.8408540864;Reinach BL, Dorf;0;0;442;0;0;3.8;2
8500060;2610279.908164642;1265185.957185671;Binningen, Schloss;0;0;305;0;0;5.51;3
8500061;2610151.70582499;1264642.2498620662;Binningen, Bottmingermühle;0;0;304;0;0;5.53;3
8500062;2610015.2057289095;1263734.8374877088;Bottmingen, Schloss;0;0;867;0;0;1.94;2
8500063;2609089.9439024962;1262675.070378023;Oberwil BL, Zentrum;0;0;638;0;0;2.63;2
8500064;2608932.145570597;1260959.7733859853;Therwil, Zentrum;0;0;494;0;0;3.4;2
8500065;2608093.152468726;1259228.8494838676;Ettingen, Bahnhof;0;0;367;0;0;4.58;2
8500066;2606299.2098096246;1259630.2922102262;Witterswil, Station;0;0;140;0;0;12;4
8500067;2605376.2618351155;1259823.0779222767;Bättwil, Dorf;0;0;140;0;0;12;4
8500068;2604561.8221850954;1259812.2850498243;Flüh, Bahnhof;0;0;240;0;0;7;3
