ERHJAHR,PUBJAHR,X_KOORD,Y_KOORD,E_KOORD,N_KOORD,RELI,GDENR,GTOT,GA01,GA02,GA03,GA05,GA06,GA07,GA08,GB01,GB02,GB03,GB04,GB05,GB06,GB07,GB08,GB09,GB10,GB11,GB12,GG01,GG02,GG03,GG04,GG05,GG06,GG07,GG08,GG09,GH01,GH02,GH03,GH04,GH05,GH17,GH19,GE01,GE02,GE03,GE04,GE05,GE06,GE07,GE08,GE17,GE19,GEWW01,GEWW02,GEWW03,GEWW04,GEWW05,GEWW06,GEWW07,GEWW08,GEWW17,GEWW19,GW00,GW01,GW02,GW03,GW04,GW05,GW06,GW07,GW10,WTOT,WTF,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT12,WT1,WT1F,WT101,WT102,WT103,WT104,WT105,WT106,WT107,WT108,WT109,WT110,WT111,WT112,WT2,WT2F,WT201,WT202,WT203,WT204,WT205,WT206,WT207,WT208,WT209,WT210,WT211,WT212,WT3,WT3F,WT301,WT302,WT303,WT304,WT305,WT306,WT307,WT308,WT309,WT310,WT311,WT312,WT4,WT4F,WT401,WT402,WT403,WT404,WT405,WT406,WT407,WT408,WT409,WT410,WT411,WT412,WT5,WT5F,WT501,WT502,WT503,WT504,WT505,WT506,WT507,WT508,WT509,WT510,WT511,WT512,WT6,WT6F,WT601,WT602,WT603,WT604,WT605,WT606,WT607,WT608,WT609,WT610,WT611,WT612
2014,2016,569000,105000,2569000,1105000,56901050,6137,3,2,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,204,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,60,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,144,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,2016,631800,129300,2631800,1129300,63181293,6191,5,5,5,4,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,,0,4,1,0,0,0,0,0,0,4,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,4,1,0,0,0,0,0,0,6,489,4,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,40,1,0,0,0,0,0,0,0,0,0,0,,3,110,2,1,0,0,0,0,0,0,0,0,0,,1,155,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,184,0,0,0,0,0,0,0,0,1,0,0,
2014,2016,744500,217400,2744500,1217400,74452174,3292,28,17,15,12,3,2,11,0,0,11,1,0,2,1,0,0,0,1,12,,4,16,5,3,0,0,0,0,0,6,0,17,1,0,3,1,1,15,7,1,2,1,0,0,0,1,1,12,7,3,3,1,0,0,0,1,1,24,1,0,0,0,0,2,0,43,3937,0,11,1,0,2,8,0,0,0,1,20,,3,57,0,1,1,0,1,0,0,0,0,0,0,,6,421,0,0,0,0,0,2,0,0,0,1,3,,12,829,0,4,0,0,1,3,0,0,0,0,4,,9,869,0,1,0,0,0,0,0,0,0,0,8,,9,933,0,4,0,0,0,3,0,0,0,0,2,,4,828,0,1,0,0,0,0,0,0,0,0,3,
2014,2016,586000,117800,2586000,1117800,58601178,6021,17,17,17,13,4,0,0,0,0,1,1,0,0,0,0,0,0,1,14,,3,14,0,0,0,0,0,0,0,0,0,16,0,1,0,0,1,0,8,0,8,0,0,0,0,0,0,0,8,0,8,0,0,1,0,0,0,13,2,0,2,0,0,0,0,25,3199,0,2,1,0,0,0,0,0,0,1,21,,1,35,0,1,0,0,0,0,0,0,0,0,0,,1,40,0,0,0,0,0,0,0,0,0,0,1,,5,515,0,1,1,0,0,0,0,0,0,1,2,,8,1082,0,0,0,0,0,0,0,0,0,0,8,,10,1527,0,0,0,0,0,0,0,0,0,0,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,2016,567000,249100,2567000,1249100,56702491,6809,3,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,220,0,0,0,0,1,0,0,0,0,1,1,,1,30,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,90,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,100,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,2016,597600,125000,2597600,1125000,59761250,6082,7,6,6,6,0,0,1,0,0,1,1,0,0,0,0,1,1,1,2,,1,4,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,695,0,1,1,0,0,0,0,1,1,1,2,,1,45,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,290,0,1,0,0,0,0,0,0,0,1,1,,3,360,0,0,1,0,0,0,0,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,2016,605300,123800,2605300,1123800,60531238,6232,39,37,37,34,3,0,2,0,0,2,1,1,1,0,1,2,2,3,26,,3,22,13,0,0,1,0,0,0,2,0,35,0,0,2,0,6,4,14,9,6,0,0,0,0,0,6,1,12,15,4,0,0,1,0,0,0,36,2,0,0,0,0,1,0,48,6293,0,2,1,1,1,0,1,2,2,4,34,,1,40,0,0,0,0,0,0,0,0,0,0,1,,2,186,0,0,0,1,0,0,0,0,0,0,1,,10,901,0,0,1,0,0,0,0,1,1,0,7,,11,1265,0,1,0,0,0,0,1,1,1,3,4,,17,2550,0,1,0,0,0,0,0,0,0,1,15,,7,1351,0,0,0,0,1,0,0,0,0,0,6,
2014,2016,609100,225700,2609100,1225700,60912257,2513,6,6,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,0,5,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,11,1150,0,0,0,0,0,0,0,0,0,0,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,282,0,0,0,0,0,0,0,0,0,0,4,,4,454,0,0,0,0,0,0,0,0,0,0,4,,3,414,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,2016,759100,194100,2759100,1194100,75911941,3941,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,580,2,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,360,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,220,1,0,0,0,0,0,0,0,0,0,0,
2014,2016,626600,139300,2626600,1139300,62661393,6202,14,14,14,12,2,0,0,0,0,1,0,0,1,0,0,0,7,2,3,,1,12,1,0,0,0,0,0,0,0,0,13,0,1,0,0,3,3,1,7,0,0,0,0,0,0,3,0,1,8,0,0,0,2,0,0,0,12,1,0,1,0,0,0,0,18,1636,0,1,0,0,1,0,0,0,7,3,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,71,0,1,0,0,0,0,0,0,0,0,0,,4,303,0,0,0,0,0,0,0,0,1,1,2,,8,719,0,0,0,0,0,0,0,0,5,1,2,,4,454,0,0,0,0,1,0,0,0,0,1,2,,1,89,0,0,0,0,0,0,0,0,1,0,0,
