ERHJAHR,PUBJAHR,X_KOORD,Y_KOORD,E_KOORD,N_KOORD,RELI,GDENR,GTOT,GA01,GA02,GA03,GA05,GA06,GA07,GA08,GB01,GB02,GB03,GB04,GB05,GB06,GB07,GB08,GB09,GB10,GB11,GB12,GG01,GG02,GG03,GG04,GG05,GG06,GG07,GG08,GG09,GH01,GH02,GH03,GH04,GH05,GH17,GH19,GE01,GE02,GE03,GE04,GE05,GE06,GE07,GE08,GE17,GE19,GEWW01,GEWW02,GEWW03,GEWW04,GEWW05,GEWW06,GEWW07,GEWW08,GEWW17,GEWW19,GW00,GW01,GW02,GW03,GW04,GW05,GW06,GW07,GW10,WTOT,WTF,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT12,WT1,WT1F,WT101,WT102,WT103,WT104,WT105,WT106,WT107,WT108,WT109,WT110,WT111,WT112,WT2,WT2F,WT201,WT202,WT203,WT204,WT205,WT206,WT207,WT208,WT209,WT210,WT211,WT212,WT3,WT3F,WT301,WT302,WT303,WT304,WT305,WT306,WT307,WT308,WT309,WT310,WT311,WT312,WT4,WT4F,WT401,WT402,WT403,WT404,WT405,WT406,WT407,WT408,WT409,WT410,WT411,WT412,WT5,WT5F,WT501,WT502,WT503,WT504,WT505,WT506,WT507,WT508,WT509,WT510,WT511,WT512,WT6,WT6F,WT601,WT602,WT603,WT604,WT605,WT606,WT607,WT608,WT609,WT610,WT611,WT612
2016,2017,630200,235300,2630200,1235300,63022353,4279,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,1386,0,0,0,0,0,0,0,0,0,0,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,264,0,0,0,0,0,0,0,0,0,0,6,,6,486,0,0,0,0,0,0,0,0,0,0,6,,6,636,0,0,0,0,0,0,0,0,0,0,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,2017,663400,244700,2663400,1244700,66342447,4082,17,17,15,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,17,,0,8,6,3,0,0,0,0,0,0,0,16,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,10,1,2,1,3,0,0,0,37,4687,0,0,0,0,0,0,0,0,0,0,37,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,723,0,0,0,0,0,0,0,0,0,0,9,,13,1528,0,0,0,0,0,0,0,0,0,0,13,,12,1843,0,0,0,0,0,0,0,0,0,0,12,,3,593,0,0,0,0,0,0,0,0,0,0,3,
2016,2017,660900,269100,2660900,1269100,66092691,4303,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,12,1170,0,0,0,0,0,0,0,0,0,0,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,290,0,0,0,0,0,0,0,0,0,0,4,,4,400,0,0,0,0,0,0,0,0,0,0,4,,3,360,0,0,0,0,0,0,0,0,0,0,3,,1,120,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,2017,645800,249000,2645800,1249000,64582490,4001,4,2,1,1,0,1,2,0,0,0,0,0,1,0,0,2,0,0,1,,0,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,420,0,0,0,0,1,0,0,2,0,0,1,,1,40,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,120,0,0,0,0,0,0,0,1,0,0,0,,1,120,0,0,0,0,1,0,0,0,0,0,0,,1,140,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,2017,593000,122000,2593000,1122000,59301220,6265,12,11,10,9,1,1,1,0,2,4,1,1,1,0,0,0,0,1,2,,3,9,0,0,0,0,0,0,0,3,1,8,0,0,0,0,1,5,3,3,0,0,0,0,0,0,1,1,2,5,3,0,0,0,0,0,0,11,1,0,0,0,0,0,0,13,1028,3,4,1,1,1,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,122,1,2,0,0,0,0,0,0,0,0,0,,5,334,2,2,1,0,0,0,0,0,0,0,0,,5,572,0,0,0,1,1,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,2017,671600,243200,2671600,1243200,67162432,4074,5,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,0,4,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,6,1001,0,0,0,0,0,0,0,0,0,0,6,,1,100,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,238,0,0,0,0,0,0,0,0,0,0,2,,3,663,0,0,0,0,0,0,0,0,0,0,3,
2016,2017,646300,256100,2646300,1256100,64632561,4004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,230,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,230,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,2017,643900,262000,2643900,1262000,64392620,4163,13,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,85,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,85,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,2017,643900,222200,2643900,1222200,64392222,1128,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,6,879,0,0,0,0,0,0,0,0,0,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,77,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,468,0,0,0,0,0,0,0,0,0,0,3,,1,184,0,0,0,0,0,0,0,0,0,1,0,,1,150,0,0,0,0,0,0,0,0,0,0,1,
2016,2017,641400,267100,2641400,1267100,64142671,4177,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,65,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,65,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
