RELI,GDENR,X_KOORD,Y_KOORD,E_KOORD,N_KOORD,B11BTOT,B11B11,B11B12,B11B13,B11B14,B11B15,B11B16,B11B21,B11B22,B11B23,B11B24,B11B25,B11B26,B11B27,B11B28,B11B29,B11B30,B11BMTOT,B11BM01,B11BM02,B11BM03,B11BM04,B11BM05,B11BM06,B11BM07,B11BM08,B11BM09,B11BM10,B11BM11,B11BM12,B11BM13,B11BM14,B11BM15,B11BM16,B11BM17,B11BM18,B11BM19,B11BWTOT,B11BW01,B11BW02,B11BW03,B11BW04,B11BW05,B11BW06,B11BW07,B11BW08,B11BW09,B11BW10,B11BW11,B11BW12,B11BW13,B11BW14,B11BW15,B11BW16,B11BW17,B11BW18,B11BW19,B11B41,B11B42,B11B43,B11B44,B11B45,B11B46,B11B51,B11B52,B11B53,B11B54,B11B55,B11B56
68242913,2951,682400,291300,2682400,1291300,7,7,0,0,0,0,0,7,2,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,1,5,0,7,0,0,0,0,0
67862893,2952,678600,289300,2678600,1289300,4,4,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0
68122854,2953,681200,285400,2681200,1285400,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,3,0,0,0,0,0
70462816,2962,704600,281600,2704600,1281600,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
70292850,2963,702900,285000,2702900,1285000,6,3,3,1,0,2,0,4,1,2,1,0,2,0,0,2,0,4,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,0,6,0,0,0,0,0
70672798,2964,706700,279800,2706700,1279800,17,16,1,0,1,0,0,17,1,4,8,4,0,0,0,0,0,9,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,2,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,9,4,0,13,0,0,0,4,0
67652834,2971,676500,283400,2676500,1283400,9,7,2,1,0,1,0,5,0,2,3,0,4,2,0,2,0,7,0,0,0,0,1,0,2,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0,0,8,1,0,0,0,0
67802844,2972,678000,284400,2678000,1284400,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0
67462802,2973,674600,280200,2674600,1280200,7,6,1,1,0,0,0,6,3,0,3,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,3,2,0,6,0,1,0,0,0
67732801,2974,677300,280100,2677300,1280100,5,5,0,0,0,0,0,5,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,3,0,4,1,0,0,0,0
73872503,3001,738700,250300,2738700,1250300,78,61,17,8,3,6,0,61,20,9,30,2,17,7,3,7,0,35,1,1,2,1,1,2,1,0,4,3,3,3,1,4,0,1,0,4,3,43,4,0,0,3,2,2,3,1,2,3,1,2,4,0,0,0,2,6,8,6,12,6,39,15,0,71,4,1,0,2,0
74202477,3002,742000,247700,2742000,1247700,5,5,0,0,0,0,0,5,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,2,0,5,0,0,0,0,0
73682461,3004,736800,246100,2736800,1246100,5,5,0,0,0,0,0,5,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,2,0,0,3,2,0,0,0,0
73962424,3006,739600,242400,2739600,1242400,20,20,0,0,0,0,0,20,5,8,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,2,1,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,5,1,0,0,2,10,8,0,20,0,0,0,0,0
73952467,3007,739500,246700,2739500,1246700,7,7,0,0,0,0,0,7,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,5,1,0,7,0,0,0,0,0
74952488,3021,749500,248800,2749500,1248800,4,4,0,0,0,0,0,3,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3,0,0,4,0,0,0,0,0
75222477,3022,752200,247700,2752200,1247700,5,4,1,0,1,0,0,4,0,1,3,0,1,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,5,0,0,0,0,0
75122531,3023,751200,253100,2751200,1253100,16,16,0,0,0,0,0,15,2,3,10,0,1,1,0,0,0,7,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,4,0,2,1,12,1,0,16,0,0,0,0,0
74712507,3024,747100,250700,2747100,1250700,23,20,3,3,0,0,0,20,3,6,11,0,3,3,0,0,0,14,1,1,0,0,0,0,0,2,1,1,1,0,5,1,1,0,0,0,0,9,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,2,1,0,7,2,0,13,1,0,16,4,1,2,0,0
75292528,3025,752900,252800,2752900,1252800,7,6,1,0,0,1,0,6,1,1,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,4,2,0,7,0,0,0,0,0
75622574,3031,756200,257400,2756200,1257400,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
75802569,3032,758000,256900,2758000,1256900,13,13,0,0,0,0,0,12,3,3,6,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,2,0,1,0,8,4,0,13,0,0,0,0,0
76062587,3033,760600,258700,2760600,1258700,8,8,0,0,0,0,0,8,1,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,6,0,0,8,0,0,0,0,0
75422548,3034,754200,254800,2754200,1254800,2,2,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0
75472537,3036,754700,253700,2754700,1253700,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0
76322577,3037,763200,257700,2763200,1257700,5,5,0,0,0,0,0,5,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,1,0,5,0,0,0,0,0
75922580,3038,759200,258000,2759200,1258000,5,5,0,0,0,0,0,5,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,1,0,5,0,0,0,0,0
74902441,3101,749000,244100,2749000,1244100,3,3,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,3,0,0,0,0,0
75052430,3103,750500,243000,2750500,1243000,14,12,2,2,0,0,0,12,0,9,3,0,2,2,0,0,0,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,3,1,3,0,5,5,0,13,0,0,1,0,0
74572483,3104,745700,248300,2745700,1248300,6,6,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,6,0,0,6,0,0,0,0,0
75102408,3105,751000,240800,2751000,1240800,2,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
75942546,3111,759400,254600,2759400,1254600,8,8,0,0,0,0,0,6,2,0,4,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,4,0,7,0,0,0,1,0
74342621,3201,743400,262100,2743400,1262100,12,12,0,0,0,0,0,12,1,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,0,3,0,0,0,11,1,0,12,0,0,0,0,0
74202651,3202,742000,265100,2742000,1265100,17,17,0,0,0,0,0,16,2,10,4,0,1,1,0,0,0,7,0,0,0,0,0,0,0,1,2,0,1,0,1,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,1,0,0,1,13,3,0,17,0,0,0,0,0
74622546,3203,746200,254600,2746200,1254600,466,346,120,52,41,27,0,350,156,46,148,0,116,47,30,37,2,268,3,5,6,9,21,26,23,24,27,35,17,19,15,12,9,5,3,5,4,198,4,6,3,10,4,10,10,10,16,9,11,19,4,8,14,6,14,23,17,11,100,45,242,68,0,457,0,5,1,0,3
74632587,3204,746300,258700,2746300,1258700,52,50,2,2,0,0,0,45,5,24,16,0,7,6,0,1,0,19,0,0,1,0,0,0,2,0,1,0,2,1,1,2,1,1,1,3,3,33,0,0,0,0,1,0,0,0,1,1,1,1,2,2,2,5,6,5,6,0,3,4,39,6,0,52,0,0,0,0,0
75342566,3212,753400,256600,2753400,1256600,7,4,3,0,0,3,0,4,1,3,0,0,3,0,0,3,0,4,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,3,5,0,1,0,0,1
75282600,3213,752800,260000,2752800,1260000,70,64,6,5,1,0,0,58,6,31,21,0,12,9,1,1,1,22,0,0,0,0,0,1,2,0,0,2,0,1,1,2,0,4,1,3,5,48,0,0,1,0,0,0,1,0,2,2,0,1,3,1,2,1,7,14,13,1,5,2,55,7,0,69,0,0,0,0,1
74962595,3214,749600,259500,2749600,1259500,19,19,0,0,0,0,0,18,5,7,6,0,1,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,5,3,0,2,0,12,5,0,19,0,0,0,0,0
75482607,3215,754800,260700,2754800,1260700,117,95,22,18,4,0,0,82,8,33,41,0,35,29,4,2,0,54,0,0,0,0,4,5,2,3,6,2,3,5,4,2,3,3,6,5,1,63,0,0,0,1,0,1,0,2,0,2,0,0,1,0,4,6,15,16,15,5,14,17,76,5,0,113,1,1,1,0,1
75612595,3216,756100,259500,2756100,1259500,40,38,2,1,1,0,0,33,4,19,9,1,7,7,0,0,0,13,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,2,4,2,27,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,7,11,5,1,0,3,33,3,0,39,1,0,0,0,0
75082633,3217,750800,263300,2750800,1263300,45,38,7,3,4,0,0,34,4,13,17,0,11,9,1,0,1,21,0,0,0,1,1,1,0,1,1,3,2,1,3,0,1,1,3,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,10,8,2,5,3,35,0,0,43,0,1,1,0,0
75172614,3218,751700,261400,2751700,1261400,6,6,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,1,0,6,0,0,0,0,0
75182579,3219,751800,257900,2751800,1257900,10,10,0,0,0,0,0,9,1,5,3,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,0,6,2,0,10,0,0,0,0,0
76582561,3231,765800,256100,2765800,1256100,25,13,12,12,0,0,0,11,1,9,1,0,14,12,1,1,0,15,0,0,0,1,2,2,1,2,4,1,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,1,2,4,8,2,8,3,0,21,0,0,4,0,0
76382530,3232,763800,253000,2763800,1253000,21,19,2,2,0,0,0,19,3,11,4,1,2,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,16,0,0,1,0,1,0,1,1,0,1,0,1,0,2,1,1,3,3,0,0,3,3,14,1,0,21,0,0,0,0,0
76402550,3233,764000,255000,2764000,1255000,9,9,0,0,0,0,0,9,2,6,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,2,1,4,2,0,9,0,0,0,0,0
76742506,3234,767400,250600,2767400,1250600,20,13,7,7,0,0,0,11,3,8,0,0,9,8,1,0,0,13,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,1,1,1,0,7,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,5,2,8,4,0,19,0,0,1,0,0
76212595,3235,762100,259500,2762100,1259500,28,26,2,2,0,0,0,24,3,9,12,0,4,4,0,0,0,10,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,2,2,0,1,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,7,5,1,2,3,22,0,0,27,0,1,0,0,0
76552581,3236,765500,258100,2765500,1258100,34,26,8,1,1,6,0,26,1,15,8,2,8,3,1,1,3,16,1,0,2,1,0,0,0,2,1,1,1,1,0,0,1,1,1,2,1,18,0,1,0,5,0,1,0,1,0,0,1,5,1,1,0,0,1,1,0,6,6,4,16,2,0,28,6,0,0,0,0
76072593,3237,760700,259300,2760700,1259300,15,14,1,1,0,0,0,14,4,9,1,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,4,0,1,0,11,3,0,15,0,0,0,0,0
76572529,3238,765700,252900,2765700,1252900,59,35,24,15,4,5,0,35,9,18,8,0,24,17,2,5,0,34,0,0,1,1,1,2,2,4,3,4,3,4,0,2,1,2,2,1,1,25,1,0,0,0,0,2,0,0,0,1,3,0,1,0,4,1,5,1,6,10,8,8,26,7,0,49,6,1,3,0,0
75872496,3251,758700,249600,2758700,1249600,50,33,17,5,9,3,0,34,14,10,10,0,16,6,7,3,0,22,0,0,2,1,0,3,1,0,3,3,2,0,1,1,3,0,1,0,1,28,2,3,0,0,1,2,0,0,2,0,1,0,0,1,3,3,2,4,4,1,9,3,22,12,3,47,1,1,0,0,1
75752459,3252,757500,245900,2757500,1245900,16,15,1,1,0,0,0,14,4,6,4,0,2,2,0,0,0,8,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,3,0,1,1,12,2,0,16,0,0,0,0,0
76082512,3253,760800,251200,2760800,1251200,13,13,0,0,0,0,0,13,5,5,3,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,4,0,1,2,6,4,0,13,0,0,0,0,0
76072432,3254,760700,243200,2760700,1243200,44,38,6,6,0,0,0,37,4,27,6,0,7,7,0,0,0,18,2,1,0,0,1,1,1,2,2,2,2,1,0,0,2,1,0,0,0,26,3,2,2,0,1,1,2,3,0,2,2,2,3,0,1,0,1,0,1,6,7,5,12,14,0,37,6,0,0,1,0
76192521,3255,761900,252100,2761900,1252100,6,2,4,4,0,0,0,2,0,1,1,0,4,4,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,6,0,0,0,0,0
75882403,3256,758800,240300,2758800,1240300,28,28,0,0,0,0,0,23,8,9,6,0,5,5,0,0,0,12,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,2,3,1,16,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,4,0,9,15,0,27,0,0,0,1,0
75412258,3271,754100,225800,2754100,1225800,138,104,34,27,5,2,0,96,8,48,40,0,42,33,4,4,1,76,1,2,3,3,5,4,6,5,4,6,15,8,5,3,1,3,0,1,1,62,0,1,1,1,4,7,5,1,3,8,2,1,0,2,2,2,7,7,8,12,29,11,69,17,0,126,2,2,8,0,0
75182301,3272,751800,230100,2751800,1230100,11,9,2,2,0,0,0,7,6,0,1,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,0,0,0,7,4,0,11,0,0,0,0,0
75192277,3273,751900,227700,2751900,1227700,14,8,6,2,4,0,0,10,5,2,3,0,4,1,3,0,0,10,0,0,1,0,0,0,1,0,0,3,1,1,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,4,0,6,4,0,14,0,0,0,0,0
75632365,3274,756300,236500,2756300,1236500,10,10,0,0,0,0,0,10,4,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,6,4,0,10,0,0,0,0,0
