"","Gemeinde","E_KOORD","N_KOORD","RELI","B21BTOT","B20BTOT","B19BTOT","B18BTOT","B17BTOT","B16BTOT","B15BTOT","B14BTOT","B13BTOT","B12BTOT","B11BTOT"
"1","Bergdietikon",2671600,1249800,67162498,13,14,15,18,18,17,15,12,13,11,12
"2","Bergdietikon",2671600,1249700,67162497,30,27,25,26,26,26,26,33,32,33,35
"3","Bergdietikon",2671600,1249600,67162496,9,9,10,11,11,11,12,6,6,6,7
"4","Bergdietikon",2671600,1249400,67162494,15,14,13,13,11,16,15,11,11,15,9
"5","Bergdietikon",2671600,1249200,67162492,19,5,3,7,9,8,8,12,14,10,9
"6","Bergdietikon",2671600,1249100,67162491,44,41,38,35,35,37,33,31,26,26,28
"7","Bergdietikon",2671600,1249000,67162490,24,27,29,28,22,23,22,21,25,38,23
"8","Bergdietikon",2671500,1249800,67152498,3,3,3,3,3,3,4,5,5,6,8
"9","Bergdietikon",2671500,1249700,67152497,18,18,18,18,17,16,18,17,17,17,16
"10","Bergdietikon",2671500,1249300,67152493,14,14,13,15,15,16,16,17,16,18,18
"11","Bergdietikon",2671500,1249200,67152492,33,37,36,38,41,40,37,42,42,36,36
"12","Bergdietikon",2671500,1249100,67152491,29,29,28,26,30,22,24,26,26,31,32
"13","Bergdietikon",2671500,1249000,67152490,28,30,28,25,26,29,31,29,22,24,26
"14","Spreitenbach",2671400,1253500,67142535,5,5,7,7,7,7,6,7,6,6,5
"15","Spreitenbach",2671400,1251100,67142511,3,3,3,3,3,3,3,3,3,3,3
"16","Bergdietikon",2671400,1249700,67142497,3,3,3,3,3,3,3,3,3,3,3
"17","Bergdietikon",2671400,1249300,67142493,8,6,8,8,8,8,8,8,8,8,8
"18","Bergdietikon",2671400,1249200,67142492,35,37,37,36,36,36,35,28,32,31,31
"19","Bergdietikon",2671400,1249100,67142491,17,17,17,17,17,17,17,19,20,23,23
"20","Bergdietikon",2671400,1249000,67142490,14,13,11,11,12,11,11,12,12,13,13
"21","Würenlos",2671300,1256500,67132565,57,56,59,59,57,58,48,49,49,50,18
"22","Würenlos",2671300,1256400,67132564,88,87,82,77,77,77,86,87,82,84,20
"23","Würenlos",2671300,1256300,67132563,18,18,20,20,20,19,18,19,16,12,5
"24","Bergdietikon",2671300,1249600,67132496,3,3,3,3,3,3,3,4,4,4,4
"25","Bergdietikon",2671300,1249500,67132495,9,9,7,10,7,9,8,8,8,8,8
"26","Bergdietikon",2671300,1249200,67132492,12,12,9,11,13,14,15,12,11,13,14
"27","Bergdietikon",2671300,1249100,67132491,24,23,23,23,24,25,25,24,18,16,19
"28","Bergdietikon",2671300,1249000,67132490,7,7,7,7,6,5,5,5,5,7,7
"29","Würenlos",2671200,1256500,67122565,36,36,36,38,38,37,37,36,36,31,29
"30","Würenlos",2671200,1256400,67122564,43,43,43,43,43,40,39,40,39,39,35
"31","Spreitenbach",2671200,1251400,67122514,7,4,4,3,3,3,3,4,4,3,3
"32","Spreitenbach",2671200,1251300,67122513,5,3,6,6,5,7,4,9,3,3,3
"33","Spreitenbach",2671200,1250800,67122508,4,8,9,10,9,7,6,6,6,6,6
"34","Bergdietikon",2671200,1249800,67122498,4,4,4,4,4,4,4,4,4,3,3
"35","Bergdietikon",2671200,1249700,67122497,26,24,24,24,23,25,25,21,22,22,22
"36","Spreitenbach",2671100,1252000,67112520,13,12,8,11,11,11,10,10,11,11,10
"37","Spreitenbach",2671100,1250900,67112509,3,3,3,3,3,3,3,3,3,3,3
"38","Bergdietikon",2671100,1249800,67112498,21,20,20,20,21,22,22,22,20,21,19
"39","Bergdietikon",2671100,1249700,67112497,32,31,28,28,29,28,30,41,41,41,42
"40","Bergdietikon",2671100,1249600,67112496,10,10,7,7,9,9,8,8,9,9,9
"41","Bergdietikon",2671000,1250000,67102500,3,3,3,3,3,3,3,3,3,3,3
"42","Bergdietikon",2671000,1249900,67102499,5,5,5,5,5,6,6,6,6,6,6
"43","Bergdietikon",2671000,1249800,67102498,27,28,31,29,29,30,29,27,26,28,25
"44","Bergdietikon",2671000,1249700,67102497,23,30,30,31,34,32,29,28,29,29,28
"45","Bergdietikon",2671000,1249600,67102496,23,20,20,23,25,25,23,19,19,24,22
"46","Würenlos",2670900,1255700,67092557,3,3,3,3,3,3,3,3,3,3,3
"47","Spreitenbach",2670900,1252200,67092522,10,10,10,10,10,10,10,10,10,10,10
"48","Bergdietikon",2670900,1250100,67092501,3,3,3,3,3,3,3,3,3,3,3
"49","Bergdietikon",2670900,1250000,67092500,16,16,16,18,12,11,14,12,14,15,16
"50","Bergdietikon",2670900,1249900,67092499,42,39,40,40,41,41,42,43,42,41,42
"51","Bergdietikon",2670900,1249800,67092498,38,35,35,36,34,41,41,40,26,18,23
"52","Bergdietikon",2670900,1249700,67092497,21,26,26,27,28,25,26,24,22,22,22
"53","Bergdietikon",2670900,1249600,67092496,26,14,14,15,16,16,15,19,19,19,19
"54","Bergdietikon",2670900,1249500,67092495,8,10,10,10,10,10,10,10,10,9,9
"55","Bergdietikon",2670900,1249400,67092494,3,3,3,3,3,3,3,3,3,3,3
"56","Bergdietikon",2670900,1249100,67092491,13,13,12,11,11,11,11,10,9,9,9
"57","Würenlos",2670800,1255800,67082558,11,11,11,10,10,11,10,10,10,10,10
"58","Würenlos",2670800,1255700,67082557,5,3,3,4,4,7,7,7,3,3,3
"59","Spreitenbach",2670800,1252200,67082522,108,108,108,108,108,108,108,108,108,108,108
"60","Spreitenbach",2670800,1252100,67082521,39,39,39,39,39,39,39,39,39,39,39
"61","Bergdietikon",2670800,1250100,67082501,25,25,25,23,25,25,28,24,22,21,23
"62","Bergdietikon",2670800,1250000,67082500,43,46,47,51,51,48,49,48,41,39,41
"63","Bergdietikon",2670800,1249900,67082499,22,30,34,35,35,35,35,31,31,30,31
"64","Bergdietikon",2670800,1249800,67082498,26,23,25,25,25,25,26,28,28,25,26
"65","Bergdietikon",2670800,1249700,67082497,60,49,25,16,12,12,12,13,11,7,8
"66","Bergdietikon",2670800,1249600,67082496,40,42,45,44,43,45,39,37,38,41,41
"67","Bergdietikon",2670800,1249500,67082495,23,24,24,23,22,22,22,22,20,19,19
"68","Bergdietikon",2670800,1249400,67082494,13,11,12,12,11,11,9,11,11,11,12
"69","Würenlos",2670700,1255800,67072558,3,3,3,3,3,3,3,3,3,3,3
"70","Würenlos",2670700,1255700,67072557,26,24,23,24,23,26,25,25,27,27,27
"71","Würenlos",2670700,1255600,67072556,3,3,3,3,3,3,3,3,3,5,4
"72","Würenlos",2670700,1255000,67072550,4,4,5,4,4,6,6,5,5,5,5
"73","Spreitenbach",2670700,1252800,67072528,6,6,6,6,6,6,6,6,6,6,6
"74","Spreitenbach",2670700,1252200,67072522,205,205,205,205,205,205,205,205,205,205,205
"75","Spreitenbach",2670700,1252100,67072521,69,276,272,240,254,70,72,47,37,37,31
"76","Spreitenbach",2670700,1252000,67072520,6,5,3,5,6,8,7,11,8,9,4
"77","Bergdietikon",2670700,1250200,67072502,6,4,4,4,4,3,3,3,5,3,3
"78","Bergdietikon",2670700,1250100,67072501,56,55,57,62,58,52,46,45,42,38,40
"79","Bergdietikon",2670700,1250000,67072500,25,24,24,23,22,19,18,22,24,19,18
"80","Bergdietikon",2670700,1249900,67072499,25,27,28,22,22,22,22,20,22,21,22
"81","Bergdietikon",2670700,1249800,67072498,37,43,42,41,39,37,37,39,36,36,35
"82","Bergdietikon",2670700,1249700,67072497,57,49,38,44,47,47,45,48,48,48,45
"83","Bergdietikon",2670700,1249600,67072496,13,13,15,15,15,16,16,10,10,9,9
"84","Bergdietikon",2670700,1249500,67072495,6,7,7,7,7,7,7,7,7,7,7
"85","Bergdietikon",2670700,1249400,67072494,9,10,10,9,10,9,9,8,8,11,11
"86","Spreitenbach",2670600,1252400,67062524,74,74,74,74,74,74,74,74,74,74,74
"87","Spreitenbach",2670600,1252200,67062522,84,91,94,88,86,88,87,89,65,68,63
"88","Spreitenbach",2670600,1252100,67062521,134,167,166,171,165,169,164,154,168,163,159
"89","Spreitenbach",2670600,1252000,67062520,125,111,118,122,120,123,116,119,113,104,102
"90","Bergdietikon",2670600,1250100,67062501,9,9,9,9,9,9,9,9,9,9,9
"91","Bergdietikon",2670600,1250000,67062500,4,4,4,4,4,4,4,4,4,4,4
"92","Bergdietikon",2670600,1249900,67062499,31,34,31,33,35,34,32,35,35,36,32
"93","Bergdietikon",2670600,1249800,67062498,36,28,24,25,25,28,29,28,31,30,33
"94","Bergdietikon",2670600,1249700,67062497,49,63,67,68,73,70,69,72,71,74,71
"95","Bergdietikon",2670600,1249600,67062496,17,16,16,14,16,16,13,13,14,16,15
"96","Würenlos",2670500,1254600,67052546,4,4,4,4,4,4,4,4,4,4,4
"97","Spreitenbach",2670500,1253600,67052536,22,22,22,22,22,22,22,22,22,22,22
"98","Spreitenbach",2670500,1252600,67052526,102,102,102,102,102,102,102,102,102,102,102
"99","Spreitenbach",2670500,1252500,67052525,36,41,36,35,38,38,40,3,3,3,3
"100","Spreitenbach",2670500,1252400,67052524,58,58,58,58,58,58,58,58,58,58,58
"101","Spreitenbach",2670500,1252300,67052523,28,25,26,27,29,28,30,31,33,33,33
"102","Spreitenbach",2670500,1252200,67052522,76,83,70,72,58,68,73,80,96,94,89
"103","Spreitenbach",2670500,1252100,67052521,84,56,61,62,66,71,74,75,73,73,75
"104","Spreitenbach",2670500,1252000,67052520,7,22,22,12,12,12,13,13,9,9,10
"105","Spreitenbach",2670500,1251900,67052519,15,9,9,10,10,10,10,10,6,7,6
"106","Spreitenbach",2670500,1251800,67052518,7,7,7,7,7,7,7,7,7,7,7
"107","Bergdietikon",2670500,1249800,67052498,13,13,14,14,14,12,12,13,14,14,14
"108","Bergdietikon",2670500,1249700,67052497,3,3,3,3,3,3,3,3,3,3,3
"109","Würenlos",2670400,1256800,67042568,7,7,7,7,7,7,7,7,3,3,3
"110","Würenlos",2670400,1256100,67042561,5,5,5,5,5,5,4,4,4,4,4
"111","Würenlos",2670400,1255100,67042551,10,10,10,10,10,10,10,10,10,10,10
"112","Würenlos",2670400,1254800,67042548,7,7,7,7,7,7,7,7,7,7,6
"113","Würenlos",2670400,1254700,67042547,3,3,3,3,3,3,3,3,4,4,4
"114","Spreitenbach",2670400,1252700,67042527,41,41,41,41,41,41,41,41,41,41,41
"115","Spreitenbach",2670400,1252600,67042526,74,74,74,74,74,74,74,74,74,74,74
"116","Spreitenbach",2670400,1252500,67042525,104,108,84,40,42,45,39,49,30,29,31
"117","Spreitenbach",2670400,1252400,67042524,95,206,214,219,207,214,35,36,37,47,43
"118","Spreitenbach",2670400,1252300,67042523,155,166,160,159,152,152,92,94,90,92,96
"119","Spreitenbach",2670400,1252200,67042522,49,46,48,49,55,53,51,29,34,36,35
"120","Spreitenbach",2670400,1252100,67042521,28,26,26,28,27,29,31,33,38,40,40
"121","Spreitenbach",2670400,1252000,67042520,72,82,63,64,65,67,70,60,64,66,66
"122","Spreitenbach",2670400,1251900,67042519,33,27,28,26,29,29,29,35,37,36,35
"123","Bergdietikon",2670400,1249900,67042499,4,5,6,6,6,6,6,5,5,5,5
"124","Bergdietikon",2670400,1249400,67042494,4,4,4,4,4,4,4,4,4,4,4
"125","Bergdietikon",2670400,1249000,67042490,6,6,5,5,7,6,7,7,6,6,6
"126","Würenlos",2670300,1256300,67032563,3,3,3,3,3,3,4,4,4,4,4
"127","Würenlos",2670300,1256000,67032560,3,3,3,3,3,3,3,3,3,3,3
"128","Würenlos",2670300,1255900,67032559,6,7,7,7,7,7,7,7,7,7,7
"129","Würenlos",2670300,1255800,67032558,3,3,3,3,3,3,3,3,3,3,3
"130","Würenlos",2670300,1255700,67032557,42,45,46,45,47,45,46,47,48,49,45
"131","Würenlos",2670300,1255600,67032556,60,70,70,74,73,79,78,81,71,70,70
"132","Würenlos",2670300,1255200,67032552,51,47,50,56,60,56,48,50,51,50,52
"133","Würenlos",2670300,1254600,67032546,3,3,3,3,3,3,3,3,3,3,3
"134","Spreitenbach",2670300,1254100,67032541,3,3,3,5,3,5,6,5,4,4,4
"135","Würenlos",2670300,1254100,67032541,3,3,3,5,3,5,6,5,4,4,4
"136","Spreitenbach",2670300,1254000,67032540,5,5,5,4,3,3,3,3,3,3,9
"137","Spreitenbach",2670300,1253900,67032539,5,5,7,7,6,6,6,7,6,6,5
"138","Spreitenbach",2670300,1253100,67032531,7,6,6,5,5,3,3,3,3,3,3
"139","Spreitenbach",2670300,1253000,67032530,3,3,3,3,3,3,3,3,3,3,3
"140","Spreitenbach",2670300,1252600,67032526,26,36,35,34,39,39,40,45,28,28,40
"141","Spreitenbach",2670300,1252500,67032525,73,64,65,62,66,63,67,65,99,96,92
"142","Spreitenbach",2670300,1252400,67032524,88,103,103,104,105,98,100,101,100,103,97
"143","Spreitenbach",2670300,1252300,67032523,151,139,134,126,126,123,126,129,132,130,138
"144","Spreitenbach",2670300,1252200,67032522,49,29,35,39,41,46,37,24,21,22,18
"145","Spreitenbach",2670300,1252100,67032521,6,5,7,7,6,8,5,6,5,6,6
"146","Spreitenbach",2670300,1252000,67032520,20,14,14,10,9,9,7,6,7,7,7
"147","Spreitenbach",2670300,1251900,67032519,86,90,96,97,98,96,96,96,98,93,82
"148","Würenlos",2670200,1255800,67022558,3,3,3,3,3,3,4,4,4,4,4
"149","Würenlos",2670200,1255700,67022557,52,52,57,57,60,61,57,57,51,52,55
"150","Würenlos",2670200,1255600,67022556,47,34,32,34,30,29,29,26,44,45,45
"151","Würenlos",2670200,1255500,67022555,87,86,85,83,26,24,23,23,23,23,25
"152","Würenlos",2670200,1255400,67022554,46,61,66,60,65,66,65,61,43,41,37
"153","Würenlos",2670200,1255200,67022552,67,85,87,84,79,78,72,70,55,57,50
"154","Würenlos",2670200,1255100,67022551,37,22,24,23,16,16,23,23,30,30,34
"155","Würenlos",2670200,1254900,67022549,8,8,8,8,8,8,8,8,8,8,8
"156","Würenlos",2670200,1254800,67022548,11,6,6,7,8,8,8,8,11,11,12
"157","Würenlos",2670200,1254700,67022547,24,33,36,37,38,37,37,37,25,18,19
"158","Spreitenbach",2670200,1253900,67022539,3,3,3,3,3,3,3,3,3,3,3
"159","Spreitenbach",2670200,1253600,67022536,4,4,4,4,4,4,4,4,3,3,4
"160","Spreitenbach",2670200,1252600,67022526,412,414,415,412,433,415,432,423,414,415,436
"161","Spreitenbach",2670200,1252500,67022525,53,52,49,54,56,55,54,56,53,54,52
"162","Spreitenbach",2670200,1252400,67022524,48,53,51,46,47,47,47,46,45,46,46
"163","Spreitenbach",2670200,1252300,67022523,61,57,59,59,56,53,57,66,61,61,61
"164","Spreitenbach",2670200,1252200,67022522,89,105,101,97,94,94,93,79,79,80,78
"165","Spreitenbach",2670200,1252100,67022521,11,15,14,16,16,17,19,18,27,27,28
"166","Spreitenbach",2670200,1252000,67022520,90,89,94,89,89,94,95,95,91,89,91
"167","Spreitenbach",2670200,1251900,67022519,106,109,101,103,102,105,106,102,106,108,100
"168","Spreitenbach",2670200,1251800,67022518,19,29,29,29,29,29,30,31,23,23,24
"169","Würenlos",2670100,1255900,67012559,7,7,7,7,7,7,7,7,7,7,7
"170","Würenlos",2670100,1255700,67012557,3,3,3,3,3,3,3,3,6,6,6
"171","Würenlos",2670100,1255600,67012556,90,97,98,102,98,95,99,100,77,67,70
"172","Würenlos",2670100,1255500,67012555,14,14,14,16,15,15,15,15,34,33,33
"173","Würenlos",2670100,1255400,67012554,93,73,75,75,78,75,75,70,94,99,97
"174","Würenlos",2670100,1255300,67012553,62,78,78,77,73,77,84,82,80,76,72
"175","Würenlos",2670100,1255200,67012552,39,25,23,26,27,25,26,28,39,38,38
"176","Würenlos",2670100,1255000,67012550,9,10,10,10,10,10,10,7,9,9,9
"177","Würenlos",2670100,1254900,67012549,28,22,26,26,25,28,27,28,20,25,25
"178","Würenlos",2670100,1254800,67012548,32,34,34,34,33,32,32,33,31,31,27
"179","Würenlos",2670100,1254700,67012547,73,83,82,81,74,75,74,76,76,70,71
"180","Würenlos",2670100,1254600,67012546,21,17,13,13,13,13,13,13,16,16,16
"181","Würenlos",2670100,1254500,67012545,8,6,7,10,9,10,10,7,5,4,5
"182","Würenlos",2670100,1254400,67012544,3,3,3,3,3,3,3,3,3,3,3
"183","Spreitenbach",2670100,1253000,67012530,16,16,16,16,16,16,16,16,16,16,16
"184","Spreitenbach",2670100,1252700,67012527,303,304,301,304,293,285,289,277,287,295,291
"185","Spreitenbach",2670100,1252500,67012525,8,9,9,8,8,8,11,11,10,12,12
"186","Spreitenbach",2670100,1252400,67012524,16,17,15,15,16,16,15,16,16,15,15
"187","Spreitenbach",2670100,1252300,67012523,61,25,20,25,25,26,25,23,26,25,21
"188","Spreitenbach",2670100,1252200,67012522,30,51,45,51,52,52,55,58,43,42,40
"189","Spreitenbach",2670100,1252100,67012521,59,55,55,52,58,54,54,53,52,54,53
"190","Spreitenbach",2670100,1252000,67012520,31,31,34,32,31,32,36,34,37,40,40
"191","Spreitenbach",2670100,1251900,67012519,32,26,27,28,24,24,26,25,25,24,26
"192","Spreitenbach",2670100,1251800,67012518,58,58,59,59,63,63,58,60,64,64,61
"193","Würenlos",2670000,1255600,67002556,6,3,3,3,3,3,3,3,3,3,3
"194","Würenlos",2670000,1255500,67002555,31,35,33,35,34,34,34,35,35,34,39
"195","Würenlos",2670000,1255400,67002554,30,31,30,31,31,31,31,33,33,33,33
"196","Würenlos",2670000,1255300,67002553,22,16,16,17,17,24,17,24,20,21,22
"197","Würenlos",2670000,1255200,67002552,8,8,8,8,9,11,10,10,9,9,13
"198","Würenlos",2670000,1255000,67002550,3,3,3,3,3,3,3,3,3,3,3
"199","Würenlos",2670000,1254900,67002549,18,22,19,20,21,19,19,23,21,19,19
"200","Würenlos",2670000,1254800,67002548,50,59,44,47,47,46,49,43,36,39,40
"201","Würenlos",2670000,1254700,67002547,73,74,75,75,76,77,77,76,75,62,51
"202","Würenlos",2670000,1254600,67002546,28,28,28,28,28,28,28,28,28,28,28
"203","Würenlos",2670000,1254400,67002544,8,8,4,5,5,5,4,7,8,7,6
"204","Würenlos",2670000,1254300,67002543,8,7,7,8,8,8,8,8,7,8,8
"205","Spreitenbach",2670000,1253700,67002537,3,3,3,3,3,3,3,3,3,3,3
"206","Spreitenbach",2670000,1252900,67002529,132,130,144,142,143,149,150,145,144,142,146
"207","Spreitenbach",2670000,1252600,67002526,10,10,10,10,10,10,10,10,10,10,10
"208","Spreitenbach",2670000,1252500,67002525,3,3,3,4,4,4,4,5,5,5,5
"209","Spreitenbach",2670000,1252400,67002524,43,48,49,53,50,46,48,47,49,50,51
"210","Spreitenbach",2670000,1252300,67002523,94,105,104,103,108,101,106,107,91,82,86
"211","Spreitenbach",2670000,1252200,67002522,73,76,77,76,76,86,88,80,81,78,78
"212","Spreitenbach",2670000,1252100,67002521,19,18,17,18,17,19,20,20,23,25,26
"213","Spreitenbach",2670000,1252000,67002520,27,29,30,30,31,30,30,30,26,29,29
"214","Spreitenbach",2670000,1251900,67002519,40,36,36,37,35,36,35,34,49,42,43
"215","Spreitenbach",2670000,1251800,67002518,29,28,36,37,28,30,28,31,29,27,29
"216","Würenlos",2669900,1255600,66992556,4,4,4,4,4,4,4,4,4,4,4
"217","Würenlos",2669900,1255500,66992555,25,37,36,37,34,34,36,37,30,31,30
"218","Würenlos",2669900,1255400,66992554,58,53,52,53,52,52,52,50,61,64,66
"219","Würenlos",2669900,1255300,66992553,44,48,52,46,44,39,40,37,37,37,35
"220","Würenlos",2669900,1255200,66992552,32,36,34,27,32,32,30,35,38,31,38
"221","Würenlos",2669900,1255100,66992551,9,22,20,17,21,20,20,23,14,13,13
"222","Würenlos",2669900,1255000,66992550,42,33,30,29,29,29,29,31,32,32,33
"223","Würenlos",2669900,1254900,66992549,150,149,139,153,140,136,128,138,126,123,130
"224","Würenlos",2669900,1254800,66992548,59,59,61,64,62,65,65,65,59,60,60
"225","Würenlos",2669900,1254700,66992547,85,75,78,79,82,76,77,76,72,72,75
"226","Würenlos",2669900,1254600,66992546,83,82,80,78,71,70,68,73,89,86,87
"227","Würenlos",2669900,1254500,66992545,16,18,19,17,22,21,22,22,4,4,4
"228","Spreitenbach",2669900,1253200,66992532,4,4,4,4,4,4,3,3,3,3,3
"229","Spreitenbach",2669900,1253000,66992530,111,140,137,141,141,139,133,131,166,163,162
"230","Spreitenbach",2669900,1252900,66992529,216,229,230,231,235,235,245,240,190,189,189
"231","Spreitenbach",2669900,1252800,66992528,169,82,83,80,78,82,71,73,84,85,82
"232","Spreitenbach",2669900,1252600,66992526,3,3,4,5,4,4,4,4,5,4,5
"233","Spreitenbach",2669900,1252500,66992525,4,4,4,4,5,6,7,7,7,7,7
"234","Spreitenbach",2669900,1252400,66992524,50,48,51,48,46,48,51,51,56,58,62
"235","Spreitenbach",2669900,1252300,66992523,76,98,94,93,99,97,114,121,118,118,103
"236","Spreitenbach",2669900,1252200,66992522,45,38,38,38,41,45,45,48,53,54,50
"237","Spreitenbach",2669900,1252000,66992520,17,19,14,14,14,14,15,15,16,14,14
"238","Spreitenbach",2669900,1251900,66992519,30,36,34,34,26,28,31,26,24,18,20
"239","Spreitenbach",2669900,1251800,66992518,9,9,9,10,9,10,10,10,11,11,11
"240","Würenlos",2669800,1255600,66982556,3,3,3,3,3,3,3,3,5,4,4
"241","Würenlos",2669800,1255500,66982555,24,32,36,35,35,36,34,28,28,29,31
"242","Würenlos",2669800,1255400,66982554,29,23,20,21,22,22,22,19,19,19,18
"243","Würenlos",2669800,1255300,66982553,48,47,50,52,48,52,53,51,36,38,39
"244","Würenlos",2669800,1255200,66982552,22,23,24,23,25,25,25,25,27,26,26
"245","Würenlos",2669800,1255100,66982551,55,64,63,66,67,79,80,78,86,91,98
"246","Würenlos",2669800,1255000,66982550,18,17,17,18,17,18,19,19,21,24,21
"247","Würenlos",2669800,1254900,66982549,82,88,90,96,96,89,96,97,84,88,87
"248","Würenlos",2669800,1254800,66982548,35,39,37,37,39,39,39,39,59,61,62
"249","Würenlos",2669800,1254700,66982547,48,55,58,58,57,55,41,41,39,40,40
"250","Würenlos",2669800,1254600,66982546,89,89,91,88,72,72,76,76,96,95,95
"251","Würenlos",2669800,1254500,66982545,40,42,41,43,43,42,42,41,44,44,45
"252","Würenlos",2669800,1254400,66982544,7,6,6,7,7,6,6,6,8,7,7
"253","Würenlos",2669800,1254300,66982543,18,19,19,19,20,20,20,18,18,19,19
"254","Würenlos",2669800,1254200,66982542,43,44,46,46,46,47,48,48,41,40,41
"255","Spreitenbach",2669800,1254100,66982541,11,13,13,13,13,15,16,16,16,16,13
"256","Würenlos",2669800,1254100,66982541,11,13,13,13,13,15,16,16,16,16,13
"257","Spreitenbach",2669800,1253700,66982537,3,3,3,3,3,3,3,3,3,3,3
"258","Spreitenbach",2669800,1253100,66982531,161,167,159,162,163,170,167,160,157,158,137
"259","Spreitenbach",2669800,1253000,66982530,259,102,106,102,105,100,100,106,50,50,48
"260","Spreitenbach",2669800,1252900,66982529,36,249,247,255,244,243,250,253,410,402,403
"261","Spreitenbach",2669800,1252800,66982528,252,332,334,337,350,335,338,321,157,164,161
"262","Spreitenbach",2669800,1252700,66982527,45,47,44,42,37,32,36,33,35,35,37
"263","Spreitenbach",2669800,1252600,66982526,12,13,14,14,13,13,13,13,16,14,11
"264","Spreitenbach",2669800,1252500,66982525,7,7,7,7,9,9,7,6,6,6,6
"265","Spreitenbach",2669800,1252400,66982524,110,114,107,105,102,110,89,80,104,101,87
"266","Spreitenbach",2669800,1252300,66982523,82,92,80,82,84,84,80,80,82,80,81
"267","Spreitenbach",2669800,1252200,66982522,54,44,50,49,49,51,48,46,42,45,39
"268","Spreitenbach",2669800,1252100,66982521,40,41,39,39,38,39,37,36,38,37,39
"269","Spreitenbach",2669800,1252000,66982520,6,4,5,4,5,5,5,5,9,10,9
"270","Spreitenbach",2669800,1251900,66982519,21,15,15,18,18,18,18,22,18,24,27
"271","Ehrendingen",2669700,1259800,66972598,3,3,3,3,3,3,3,3,3,3,3
"272","Wettingen",2669700,1258100,66972581,6,6,6,6,6,6,6,6,6,6,6
"273","Würenlos",2669700,1255500,66972555,3,7,7,7,7,4,4,3,3,4,4
"274","Würenlos",2669700,1255300,66972553,10,9,9,9,9,9,10,9,11,6,8
"275","Würenlos",2669700,1255200,66972552,31,33,32,34,32,26,26,28,27,27,25
"276","Würenlos",2669700,1255000,66972550,21,24,24,22,22,21,21,21,19,20,20
"277","Würenlos",2669700,1254900,66972549,57,64,67,71,76,78,74,77,80,81,79
"278","Würenlos",2669700,1254800,66972548,106,101,103,96,104,104,104,108,80,20,20
"279","Würenlos",2669700,1254700,66972547,19,19,5,6,6,3,4,3,3,3,3
"280","Würenlos",2669700,1254600,66972546,37,31,37,38,37,30,32,32,35,40,42
"281","Würenlos",2669700,1254500,66972545,24,27,29,30,31,31,30,29,34,35,34
"282","Würenlos",2669700,1254400,66972544,29,34,29,30,32,29,30,30,29,29,28
"283","Würenlos",2669700,1254300,66972543,32,36,35,36,38,37,37,36,34,33,34
"284","Würenlos",2669700,1254200,66972542,32,32,30,31,32,32,31,31,36,34,36
"285","Spreitenbach",2669700,1254100,66972541,82,84,79,82,83,82,82,78,72,78,73
"286","Würenlos",2669700,1254100,66972541,82,84,79,82,83,82,82,78,72,78,73
"287","Spreitenbach",2669700,1254000,66972540,41,38,38,36,37,36,36,34,35,35,35
"288","Spreitenbach",2669700,1253100,66972531,212,215,247,233,232,229,216,206,221,219,213
"289","Spreitenbach",2669700,1253000,66972530,267,196,199,206,206,201,201,209,287,272,257
"290","Spreitenbach",2669700,1252900,66972529,209,215,232,232,227,239,256,253,256,272,272
"291","Spreitenbach",2669700,1252800,66972528,320,330,318,323,321,320,318,315,231,231,224
"292","Spreitenbach",2669700,1252700,66972527,131,131,130,127,125,127,122,118,191,191,198
"293","Spreitenbach",2669700,1252600,66972526,55,54,64,65,54,57,59,61,56,58,57
"294","Spreitenbach",2669700,1252500,66972525,19,20,22,17,18,18,20,21,22,21,20
"295","Spreitenbach",2669700,1252400,66972524,7,3,4,4,4,4,5,4,9,9,9
"296","Spreitenbach",2669700,1252300,66972523,126,130,102,98,97,110,83,78,67,64,67
"297","Spreitenbach",2669700,1252200,66972522,69,65,58,63,61,61,69,68,71,67,65
"298","Würenlos",2669600,1255600,66962556,15,12,12,12,14,14,14,15,14,15,17
"299","Würenlos",2669600,1255400,66962554,49,61,62,59,58,59,58,23,23,25,25
"300","Würenlos",2669600,1255300,66962553,116,85,88,89,88,88,50,22,38,34,31
"301","Würenlos",2669600,1255200,66962552,48,75,81,78,75,69,66,66,39,37,35
"302","Würenlos",2669600,1255100,66962551,86,77,74,78,77,80,78,76,66,70,70
"303","Würenlos",2669600,1255000,66962550,51,48,43,49,49,50,51,48,56,64,66
"304","Würenlos",2669600,1254900,66962549,74,69,66,69,71,66,69,67,71,73,70
"305","Würenlos",2669600,1254800,66962548,35,35,35,24,26,26,26,24,15,15,15
"306","Würenlos",2669600,1254600,66962546,21,22,21,24,23,25,20,24,21,23,24
"307","Würenlos",2669600,1254500,66962545,39,48,49,47,50,52,50,49,31,36,31
"308","Würenlos",2669600,1254400,66962544,50,40,38,33,30,37,36,36,46,46,47
"309","Würenlos",2669600,1254300,66962543,36,37,33,29,26,28,26,27,24,23,23
"310","Killwangen",2669600,1254200,66962542,33,57,58,57,51,57,59,60,36,37,32
"311","Spreitenbach",2669600,1254200,66962542,33,57,58,57,51,57,59,60,36,37,32
"312","Würenlos",2669600,1254200,66962542,33,57,58,57,51,57,59,60,36,37,32
"313","Spreitenbach",2669600,1254100,66962541,89,59,60,63,67,66,67,66,82,78,71
"314","Würenlos",2669600,1254100,66962541,89,59,60,63,67,66,67,66,82,78,71
