"","ERHJAHR","PUBJAHR","E_KOORD","N_KOORD","RELI","GTOT","GA01","GA02","GA03","GA05","GA06","GA07","GA08","GB01","GB02","GB03","GB04","GB05","GB06","GB07","GB08","GB09","GB10","GB11","GB12","GG01","GG02","GG03","GG04","GG05","GG06","GG07","GG08","GG09","GH21","GH22","GH23","GH24","GH25","GH26","GH27","GH28","GH29","GE21","GE22","GE23","GE24","GE25","GE26","GE27","GE28","GE29","GE30","GE31","GE32","GWW21","GWW22","GWW23","GWW24","GWW25","GWW26","GWW27","GWW28","GWE21","GWE22","GWE23","GWE24","GWE25","GWE26","GWE27","GWE28","GWE29","GWE30","GWE31","GWE32","GW00","GW01","GW02","GW03","GW04","GW05","GW06","GW07","GW10","WTOT","WTF","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT1","WT1F","WT101","WT102","WT103","WT104","WT105","WT106","WT107","WT108","WT109","WT110","WT111","WT112","WT2","WT2F","WT201","WT202","WT203","WT204","WT205","WT206","WT207","WT208","WT209","WT210","WT211","WT212","WT3","WT3F","WT301","WT302","WT303","WT304","WT305","WT306","WT307","WT308","WT309","WT310","WT311","WT312","WT4","WT4F","WT401","WT402","WT403","WT404","WT405","WT406","WT407","WT408","WT409","WT410","WT411","WT412","WT5","WT5F","WT501","WT502","WT503","WT504","WT505","WT506","WT507","WT508","WT509","WT510","WT511","WT512","WT6","WT6F","WT601","WT602","WT603","WT604","WT605","WT606","WT607","WT608","WT609","WT610","WT611","WT612"
"3669",2021,2022,2669500,1255100,66952551,7,5,5,0,5,0,2,0,0,1,0,0,1,1,0,0,0,4,0,0,0,0,2,5,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,5,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,1,5,0,42,5079,0,1,0,0,6,7,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,288,0,0,0,0,0,3,0,0,0,0,0,0,26,3067,0,1,0,0,3,0,0,0,0,22,0,0,13,1724,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3670",2021,2022,2669500,1255200,66952552,9,9,8,6,2,1,0,0,0,1,0,1,0,5,0,0,0,0,0,2,0,1,6,2,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,2,0,6,1,0,0,0,0,0,0,0,0,6,0,1,0,0,2,0,0,0,6,1,1,0,0,0,0,1,23,2390,0,3,0,2,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,316,0,1,0,0,0,0,0,0,0,0,0,4,8,816,0,2,0,0,0,0,0,0,0,0,0,6,6,736,0,0,0,1,0,4,0,0,0,0,0,1,3,347,0,0,0,1,0,1,0,0,0,0,0,1,1,175,0,0,0,0,0,0,0,0,0,0,0,1
"3671",2021,2022,2669500,1255300,66952553,9,6,5,1,4,1,3,0,0,3,2,3,0,0,0,0,0,0,0,1,0,2,5,2,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,4,0,4,1,0,0,0,0,0,0,0,0,4,0,1,0,0,4,0,0,0,1,1,2,1,3,1,0,0,34,2509,0,8,6,16,0,0,0,0,0,0,0,4,6,140,0,0,1,5,0,0,0,0,0,0,0,0,2,110,0,1,1,0,0,0,0,0,0,0,0,0,12,873,0,4,3,5,0,0,0,0,0,0,0,0,12,1156,0,2,0,6,0,0,0,0,0,0,0,4,1,150,0,0,1,0,0,0,0,0,0,0,0,0,1,80,0,1,0,0,0,0,0,0,0,0,0,0
"3672",2021,2022,2669500,1255400,66952554,9,8,7,4,3,1,1,0,2,3,1,0,2,0,0,0,0,1,0,0,0,5,4,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,1,0,0,2,0,3,4,0,0,0,0,2,0,0,0,3,0,4,0,0,0,0,0,0,6,3,0,0,0,0,0,0,12,1377,2,5,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,196,0,3,0,0,0,0,0,0,0,0,0,0,3,252,1,0,2,0,0,0,0,0,0,0,0,0,2,282,1,0,0,0,1,0,0,0,0,0,0,0,4,647,0,2,0,0,1,0,0,0,0,1,0,0
"3673",2021,2022,2669500,1255500,66952555,18,18,18,13,5,0,0,0,0,1,7,0,0,9,1,0,0,0,0,0,0,12,5,1,0,0,0,0,0,1,0,16,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,5,13,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,13,3,0,0,2,0,0,0,29,3641,0,1,7,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,185,0,0,0,0,0,3,0,0,0,0,0,0,2,175,0,0,0,0,0,2,0,0,0,0,0,0,12,1359,0,1,6,0,0,5,0,0,0,0,0,0,10,1572,0,0,1,0,0,8,1,0,0,0,0,0,2,350,0,0,0,0,0,2,0,0,0,0,0,0
"3674",2021,2022,2669500,1255600,66952556,9,9,8,5,3,1,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,3,5,1,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,2,7,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,5,2,0,0,1,0,1,0,22,2822,0,0,0,0,0,0,8,12,2,0,0,0,1,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,207,0,0,0,0,0,0,2,1,0,0,0,0,9,1083,0,0,0,0,0,0,4,4,1,0,0,0,8,1266,0,0,0,0,0,0,2,5,1,0,0,0,1,220,0,0,0,0,0,0,0,1,0,0,0,0
"3675",2021,2022,2669500,1262800,66952628,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3676",2021,2022,2669500,1262900,66952629,4,4,4,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,377,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,152,0,0,0,0,2,0,0,0,0,0,0,0,2,225,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3677",2021,2022,2669500,1263000,66952630,6,6,6,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,813,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,291,0,0,0,0,2,0,0,0,0,0,0,0,4,522,0,0,0,0,4,0,0,0,0,0,0,0
"3678",2021,2022,2669500,1263300,66952633,7,7,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,1,21,1880,0,0,0,0,0,0,0,0,0,6,0,15,1,34,0,0,0,0,0,0,0,0,0,0,0,1,7,441,0,0,0,0,0,0,0,0,0,0,0,7,6,475,0,0,0,0,0,0,0,0,0,0,0,6,1,90,0,0,0,0,0,0,0,0,0,0,0,1,6,840,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
