RELI;GMDE;HIST_GMDE;E_KOORD;N_KOORD;B21BTOT;B21B11;B21B12;B21B13;B21B14;B21B15;B21B16;B21B21;B21B22;B21B23;B21B24;B21B25;B21B26;B21B27;B21B28;B21B29;B21B30;B21BMTOT;B21BM01;B21BM02;B21BM03;B21BM04;B21BM05;B21BM06;B21BM07;B21BM08;B21BM09;B21BM10;B21BM11;B21BM12;B21BM13;B21BM14;B21BM15;B21BM16;B21BM17;B21BM18;B21BM19;B21BWTOT;B21BW01;B21BW02;B21BW03;B21BW04;B21BW05;B21BW06;B21BW07;B21BW08;B21BW09;B21BW10;B21BW11;B21BW12;B21BW13;B21BW14;B21BW15;B21BW16;B21BW17;B21BW18;B21BW19;B21B41;B21B42;B21B43;B21B44;B21B45;B21B46;B21B51;B21B52;B21B53;B21B54;B21B55;B21B56;H21PTOT;H21P01;H21P02;H21P03;H21P04;H21P05;H21P06;H21PI
58041134;6140;12871;2580400;1113400;16;13;3;2;0;1;0;12;0;6;5;1;4;3;0;1;0;11;0;0;0;1;0;2;1;0;0;1;0;0;1;1;0;2;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;3;2;10;1;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0
58071818;2216;13141;2580700;1181800;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
58082004;2276;14529;2580800;1200400;8;8;0;0;0;0;0;8;2;2;4;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;6;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
58092118;736;15242;2580900;1211800;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
58111884;2293;12204;2581100;1188400;74;70;4;3;0;1;0;70;12;42;16;0;4;3;0;1;0;24;0;0;0;0;1;0;3;2;2;0;1;0;0;1;4;5;1;3;1;50;1;2;0;0;0;0;1;0;2;1;2;1;0;2;1;6;12;9;10;0;8;3;41;21;1;74;0;0;0;0;0;0;0;0;0;0;0;0;0
58112091;499;15108;2581100;1209100;7;4;3;2;1;0;0;4;0;4;0;0;3;2;1;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;3;0;0;1;3;0;4;0;1;2;0;0;0;0;0;0;0;0;0;0
58161800;2307;10559;2581600;1180000;14;12;2;2;0;0;0;12;1;9;2;0;2;2;0;0;0;6;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;3;1;0;1;1;10;2;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
58162026;2265;12689;2581600;1202600;9;8;1;1;0;0;0;7;1;1;5;0;2;2;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;7;2;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
58182300;713;15230;2581800;1230000;53;47;6;3;0;3;0;44;6;24;14;0;9;4;0;5;0;22;0;0;0;0;2;0;3;4;2;0;2;0;1;0;2;1;1;2;2;31;0;0;0;0;0;0;0;1;0;1;0;1;0;1;2;4;1;10;10;1;6;4;36;6;0;52;1;0;0;0;0;0;0;0;0;0;0;0;0
58191979;2278;10856;2581900;1197900;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
